Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s),Info / Notes(radioLove invite here)
(as Ace Creator),"Dinosaur(Dinosaur EP, Bastard [V1])",,,,,,,,
Dinosaur,Dinosaur [Cover],,,,,,,/wolfgold/art/dinosaur-cover.png,"Cover for ""Dinosaur"" with the gun's serial number blurred out."
Dinosaur,brandUn DeShay - Car (2022),,,,,,,/wolfgold/art/brandun-deshay-car-2022.jpg,"Release Cover of the 2022 version of ""Car""."
Dinosaur,brandUn DeShay - Car (2022) [Orginal Image],,,,,,,/wolfgold/art/brandun-deshay-car-2022-orginal-image.jpg,"Orginal image of the releasec over of the 2022 version of ""Car"""
(as Ace Creator),Zombie Circus,,,,,,,,
Zombie Circus,Zombie Circus [Cover] (Base Image),,,,,,,/wolfgold/art/zombie-circus-cover-base-image.png,"The base image for the cover to ""Zombie Circus,"" later used for ""Bastard"""
"(as Tyler, The Creator)",Bastard(Dinosaur [V2]),,,,,,,,
Bastard,Bastard [Cover],,,,,,,/wolfgold/art/bastard-cover.jpg,"Cover for ""Bastard."" According to Tyler, this cover was supposed to signify anger."
Bastard,Bastard [Alternate Cover #1],,,,,,,/wolfgold/art/bastard-alternate-cover-1.jpg,"Alternate cover for ""Bastard."" This cover was said to signify happiness according to Tyler, and some of the ""happier"" songs on the Bastard re-release were tagged with this cover. "
Bastard,Bastard [Cover] (Original Image),,,,,,,/wolfgold/art/bastard-cover-original-image.jpg,"Original uncropped image used in the Bastard cover, why the fuck did we include a elementary school's yearbook photo. found by abenotbabe"
Bastard,Bastard [Alternate Cover #2] [V1],,,,,,,/wolfgold/art/bastard-alternate-cover-2-v1.png,"Presumably an earlier version of the second alternate Bastard cover, found on Tyler's MySpace."
Bastard,Bastard [Alternate Cover #2] [V2],,,,,,,/wolfgold/art/bastard-alternate-cover-2-v2.png,"Another alternate cover for ""Bastard,"" Tyler reused this outfit for the music video to ""SORRY NOT SORRY."""
Bastard,Bastard [Alternate Cover #2] (Original Image),,,,,,,/wolfgold/art/bastard-alternate-cover-2-original-image.jpg,"Original uncropped image used in the alternate Bastard cover, taken and posted to Flickr on December 23rd, 2008 & may have been taken either on or before October 15th, 2008. According to a trusted source, this photo was also used for Zombie Circus."
Bastard,Bastard [Back Cover],,,,,,,/wolfgold/art/bastard-back-cover.jpg,"Back cover for ""Bastard."""
Bastard,Bastard [Original Back Cover],,,,,,,/wolfgold/art/bastard-original-back-cover.jpg,Photo of young Tyler that was used for the Bastard back cover.
Bastard,Bastard [Promotional Cover],,,,,,,/wolfgold/art/bastard-promotional-cover.png,"Promotional cover for ""Bastard."""
Bastard,Seven [Single Cover],,,,,,,/wolfgold/art/seven-single-cover.png,"Cover for the ""Seven"" single."
Bastard,Seven [Single Cover] (Orginal Image),,,,,,,/wolfgold/art/seven-single-cover-orginal-image.png,"Orginal image for the ""Seven"" single cover."
Bastard,Odd Toddlers [Single Cover],,,,,,,/wolfgold/art/odd-toddlers-single-cover.png,"Cover for the ""Odd Toddlers"" single."
Bastard,Odd Toddlers [Single Cover] (Original Cover),,,,,,,/wolfgold/art/odd-toddlers-single-cover-original-cover.jpg,"Photo of Elmo's face on a wall, used as the cover for the Odd Toddlers single."
