Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
WZRD,Chip Tha Ripper - Tell Ya Friends [Back Cover],,,,,Back Cover,Used,/cudigold/art/chip-tha-ripper-tell-ya-friends-back-cover.jpg
WZRD,,,,,,Front Cover,Used,
WZRD,,,,,,Back Cover,Used,
WZRD,Hit-Boy - HITstory [Front Cover],,,,,Front Cover,Used,/cudigold/art/hit-boy-hitstory-front-cover.jpg
WZRD,Hit-Boy - HITstory [Back Cover],,,,,Back Cover,Used,/cudigold/art/hit-boy-hitstory-back-cover.jpg
WZRD,,,,,,Single,Used,
WZRD,,,,,,Front Cover,Used,
WZRD,,,,,,Back Cover,Used,
INDICUD,Pursuit Of Happiness [Extended Steve Aoki Remix],,,,,Front Cover,Used,https://mega.nz/file/eZhH1BbC#N5Pkw2o4z5AltUmyU2R8SWUc68v5P0qDVS0GcXZMcjA
INDICUD,Just What I Am,,,,,Front Cover,Used,https://mega.nz/file/iZhnnZhb#9IiWKNFFDb5hwTPjKcTXB-KvHFUFIGCxFIGKjmopnZo
INDICUD,King Wizard,,,,,Front Cover,Used,https://mega.nz/file/6cBGgaYa#x3R60dic_PkgfuDtBJ6K5tNhGaRDqqwxHqcK3lYMqwA
INDICUD,Immortal,,,,,Front Cover,Used,https://mega.nz/file/bIoGgIiA#koyAqh6VgylQxTZChawwTAEnaFMbQ-CklxTnBsUB5kY
INDICUD,Girls [OG File],,,,,Front Cover,Used,https://mega.nz/file/PVhVmBJY#30rBTLIg8COwWNJuZIMRlYh4Kn1_gHc5_BRjURfODrI
INDICUD,Indicud [Early Cover],,,,,Other,Unused,https://mega.nz/file/3FJUHYhK#9wFamAM9B8DRPfgu3G1XEHwltAADGchbRJMVRWdsBNs
INDICUD,Indicud [Early Cover],Leaked on dbree 9.25.23.,,,,Front Cover,Unused,/cudigold/art/indicud-early-cover.jpg
INDICUD,Indicud [Early Cover],Leaked on dbree 9.25.23.,,,,Front Cover,Unused,/cudigold/art/indicud-early-cover.jpg
INDICUD,INDICUD,,,,,Front Cover,Used,https://mega.nz/file/PcYkDYZZ#KMVpP5UZBXUK0fYt0f7L9pzNsR6QRkHCdROZzFJIJ44
INDICUD,,,,,,Back Cover,Used,
INDICUD,INDICUD [CD Art],,,,,Other,Used,https://mega.nz/file/3YZgWRxY#dqO0v8Z2B_JrOYXVSzdTPa80LOKhAOu8-nraq34iqqE
INDICUD,,,,,,Front Cover,Used,
INDICUD,,,,,,Front Cover,Used,
INDICUD,Ask About Me [Single Cover],Single Artwork for the Official Remaster by producer Rami.,,,,Single,Used,/cudigold/art/ask-about-me-single-cover.jpg
INDICUD,Kreayshawn - Somethin' Bout Kreay [Front Cover],,,,,Front Cover,Used,/cudigold/art/kreayshawn-somethin-bout-kreay-front-cover.jpg
INDICUD,,,,,,Back Cover,Used,
Satellite Flight,King Chip - Vortex,,,,,Front Cover,Used,/cudigold/art/king-chip-vortex.jpg
Satellite Flight,,,,,,Back Cover,Used,
Satellite Flight,,,,,,Front Cover,Used,
Satellite Flight,Kanye West - Guilt Trip,,,,,Front Cover,Used,https://mega.nz/file/GYAESY4T#K8PAg2X790YW3hVn6FqPNF7wz_ZYWyhTCx3HQEqwLo0
Satellite Flight,Satellite Flight: The Journey To Mother Moon,,,,,Front Cover,Used,https://mega.nz/file/GVIVAaQA#WSOSQUWVegrDBavWGP4L6IW5t0iOBiaqldtDWq3NMbg
Satellite Flight,Satellite Flight: The Journey To Mother Moon [Back Cover],,,,,Back Cover,Used,https://mega.nz/file/vFokBKxB#-yPsrQ-PJyP-GsjbAcRI-oAVdJzNbgXTCkRT2Mm4qdA
Satellite Flight,Satellite Flight: The Journey To Mother Moon [Booklet],,,,,Other,Used,https://mega.nz/file/7dJVRCbT#GMz2IH7CRaiOhqlq6Hs7BMWzZZ5-JaQ5Ag4E65OqGEA
Speedin' Bullet 2 Heaven,Tassho Pearce - Satellites(feat. Kid Cudi),Single Artwork.,,,,Single,Used,
Speedin' Bullet 2 Heaven,Tassho Pearce - Satellites(feat. Kid Cudi),,,,,Front Cover,Used,
Speedin' Bullet 2 Heaven,"Hero(Performed by Kid Cudi, & Skylar Grey)",,,,,Front Cover,Used,
Speedin' Bullet 2 Heaven,"HS87 - Scorn(feat. Kid Cudi, Audio Push, Hit-Boy, & Kent M$ney)",,,,,Front Cover,Used,
Speedin' Bullet 2 Heaven,love. (Soundcloud Version),,,,,,,
Speedin' Bullet 2 Heaven,JFKPSA,,,,,Front Cover,Used,https://mega.nz/file/6ZBwwA5Z#_kM78WsdyGuw7StLTWiLsqO151LqJ_o20VbAbnd1AZs
Speedin' Bullet 2 Heaven,Confused!,,,,,Front Cover,Used,https://mega.nz/file/uVBXHJRC#jKpUUxZo6dK87OufzZI8uQUVJJZpqzHA88LxxGi2ihQ
Speedin' Bullet 2 Heaven,Speedin' Bullet 2 Heaven,,,,,Front Cover,Used,https://mega.nz/file/2QwQlR4S#mcL7xJckpJLGWZEHZz1PPbW0fANbdLN6kh38vytaF5Q
Speedin' Bullet 2 Heaven,,,,,,Back Cover,Used,
Passion Pain & Demon Slayin,,,,,,Front Cover,Used,
Passion Pain & Demon Slayin,,,,,,Front Cover,Used,
Passion Pain & Demon Slayin,,Vinyl Back Cover.,,,,Back Cover,Used,
Passion Pain & Demon Slayin,Confused (Acoustic One Take),,,,,Front Cover,Used,/cudigold/art/confused-acoustic-one-take.jpg
Passion Pain & Demon Slayin,,Image posted for Goodbye.,,,,Single,Used,
Passion Pain & Demon Slayin,Frequency,Grayscale version of album art for PPND.,,,,Front Cover,Used,https://mega.nz/file/PRpV2LSC#skoFPqj8NWpeIXqhDSf2H_0FMFE3CyVEzWb_QIAIfMI
Passion Pain & Demon Slayin,Surfin',Grayscale version of album art for PPND.,,,,Front Cover,Used,https://mega.nz/file/PRpV2LSC#skoFPqj8NWpeIXqhDSf2H_0FMFE3CyVEzWb_QIAIfMI
Passion Pain & Demon Slayin,"Passion, Pain & Demon Slayin'","A folder with several of the same one are linked. Colors are off slightly on one of them, but it is higher resolution.",,,,Front Cover,Used,https://mega.nz/folder/2A4D3JiI#BJ3qn3ESFzEXNPAZxFatvg
Passion Pain & Demon Slayin,"Passion, Pain & Demon Slayin' [Back Cover]",,,,,Back Cover,Used,https://mega.nz/file/DY5mnLiZ#scRaRvXofkhtzzeEr9cwgF0sQ4aOotNavSChuA_11pw
Passion Pain & Demon Slayin,"Passion, Pain & Demon Slayin' [CD Art]",,,,,Other,Used,https://mega.nz/file/iFxwUaIC#gUmyy4EsieVc5Os4V4yTTDeX8yeroKorqL-u6I8ZsR8
KIDS SEE GHOSTS,,,,,,Front Cover,Used,
KIDS SEE GHOSTS,,,,,,Front Cover,Used,
KIDS SEE GHOSTS,,,,,,Front Cover,Used,
KIDS SEE GHOSTS,,Vinyl Back Cover.,,,,Back Cover,Used,
KIDS SEE GHOSTS,,,,,,Front Cover,Used,
KIDS SEE GHOSTS,,Vinyl Back Cover.,,,,Back Cover,Used,
