Era,Name,Notes,Designer,Form,Image,Type,Use,Links
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/84BsCzJs
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/wr4X8cBk
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/TxDPDsFL
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/hRwCxQDP
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/v6Ltpw16
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/mC6LZM9n
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/M5yFsdHy
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/whGFJx1h
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/6kdJXbM
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/BVdxDFnH
girl music vol. 1,girl music,,Unknown,Photo,,Promo Art,Used,https://ibb.co/xS3nyNRS
SUCIO SOUND SYSTEM,Bad & U Know It,"Official cover for ""Bad & U Know It"".",Unknown,Digital,,Front Cover,Used,https://ibb.co/wrQdyHB7
SUCIO SOUND SYSTEM,Bad & U Know It,"Alternate cover for ""Bad & U Know It"", lacking the text on the image.",Unknown,Digital,,Front Cover,Alternate,https://ibb.co/Z1xkwrZp
