Era,Name,Notes,"File
Date",Leak Date,Full Length,BPM,Available Length,Quality,Link(s)
4L,"Not home [V1]
(prod. YEAT & based1)","OG Filename: Not home 136 yeat based1
First version of an instrumental titled ""Not home."" Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,,136,Confirmed,Not Available,Source Needed
4L,"Not home [V2]
(prod. YEAT & based1)","OG Filename: Not home v2 136 yeat based1
Second version of the instrumental titled ""Not home."" Very likely the instrumental for ""leave me lone."" Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,,136,Confirmed,Not Available,Source Needed
4L,"Risky
(prod. SUBZEROSWIZ)","Original instrumental for ""Risky."" Uploaded to the producer's YouTube channel on June 8, 2021, titled ""(Free) Yeat x KanKan Type Beat ""Risky"" (Prod. SUBZEROSWIZ).""",,,2:02,146,Full,High Quality,https://pillows.su/f/36a00594bb821577723219ef0c4fd7dc
4L,"Simple [Original Instrumental]
(prod. filipmakesbeats)
(All i do, Money n bootup)","Original instrumental for ""Simple,"" prior to Mingo production contributions. Uploaded to the producer filipmakesbeats's YouTube channel on April 4, 2021, titled ""(free!) Lil Uzi Vert + Playboi Carti + Hyperpop Type Beat 2021 ""oakley"" (prod. @filipmakesbeats).""",,,2:55,122,Full,High Quality,"https://pillows.su/f/d948f91326df07934db3f053e6defb93
https://youtu.be/zXxg1NUUP74
https://filipmakesbeats.beatstars.com/beat/oakley-prod-filipmakesbeats-7759528"
4L,"Skervem
(prod. YEAT)","Instrumental previewed by Yeat in an Instagram Live on May 21, 2021, in which he stated that he should record a song on it. Unknown if he ever used the instrumental in 2021, but was later used for ""Skervem"" in 2022 or 2023.",,,,,Partial,Recording,https://pillows.su/f/eef2cf410d0d57066f8050df58888044
4L,"Sorry Bout That [Demo]
(prod. sharkboy)
(Not sorry)","Original instrumental for track 2 on 4L, ""Sorry Bout That,"" prior to Trgc contributions. Uploaded to the producer sharkboy's YouTube channel on May 11, 2021, titled ""[FREE] WLR + F1lthy + Playboi Carti Type Beat ""3csTAsy"" [sharkboy].""",,,2:40,,Full,High Quality,https://pillows.su/f/a83167ad2551e033cb54b82bc6c67958
4L,"Supr x
(prod. YEAT)","OG Filename (Partial): Supr x ...
Filename teased by Yeat in an Instagram Live on June 7, 2021. Unknown whether or not the instrumental was used and/or previewed.",,,,,Confirmed,Not Available,Source Needed
4L,"THa end
(prod. YEAT)","OG Filename: THa end 138 prod yeat
Filename teased by Yeat in an Instagram Live on June 7, 2021. Unknown whether or not the instrumental was used and/or previewed.",,,,138,Confirmed,Not Available,Source Needed
4L,"Ü choose
(prod. T99, Jay Trench, Mike Frost & ryanjacob)
(U choose, Live or Die)","OG Filename (Partial): T99 x mikefrost x jaytrench x ryanja...145bpm
Instrumental for ""Ü choose."" Created on May 1, 2021 and previewed by T99 in an Instagram Live on May 10, 2021.","May 1, 2021",,,145,Snippet,Recording,https://pillows.su/f/642b53bfc7ee97eaa0d8f4dc67c261d4
4L,"WYA [Demo]
(prod. filipmakesbeats)
(Wya)","Original instrumental for ""WYA,"" prior to Mingo production contributions. Uploaded to the producer filipmakesbeats's YouTube channel on April 20, 2021, titled ""(free!) Lil Uzi Vert + Hyperpop + Brandon Finessin Type Beat 2021 ""grateful"" (prod.@filipmakesbeats).""",,,1:55,158,Full,High Quality,"https://pillows.su/f/1f61039ebb4b6cd08bfe7b05c9bc6129
https://youtu.be/ais_K4CeTsM?si=hmDKFMEsDZLn511Q
https://filipmakesbeats.beatstars.com/beat/grateful-7897735"
4L,"Yeatember
(feat. SeptembersRich) (prod. T99 & Grim Brxzy)
(Long Money, Final)","Original instrumental for ""Yeatember"" featuring SeptembersRich. Uploaded to Grim Brxzy's YouTube channel on April 5, 2021, titled ""[FREE] Lancey Foux x KanKan x Summrs Type Beat ""Final"" [Prod. T99 x Grim brxzy].""",,,3:05,,Full,High Quality,"https://pillows.su/f/1a2d0ed1a511b86ce6febb1f1bba5c0a
https://youtu.be/DwWD0jAPPP0"
4L,"???
(prod. Plutobeatz & Jdolla)
(My twizzy)","Instrumental uploaded to co-producer Plutobeatz's YouTube on July 8, 2021, titled ""Free Lil Candy Paint type beat Trippie Redd type beat Rage 2021 Prod by Plutobeatz x !Jdolla.""",,,3:08,,Full,High Quality,"https://youtu.be/AZ2MOlFL3jo?si=lL_EF9PF6AZU-HsQ
https://pillows.su/f/b741d5f69273fdc2d603afeec18830ed
https://pillows.su/f/1ebe3ceef9078ca46fb94288485c3ef8"
4L,"???
(prod. YEAT)","Unknown melody produced by Yeat. Previewed by Yeat in an Instagram Live on May 21, 2021.",,,,,Snippet,Recording,https://pillows.su/f/aaa17a3c6bf9fab1a68721a179086529
4L,"???
(prod. YEAT)","Unknown instrumental produced by Yeat. Previewed by Yeat in an Instagram Live on May 21, 2021.",,,,,Snippet,Recording,https://pillows.su/f/24d0eed5f0b98666cb6d61df020e95a5
4L,"???
(prod. YEAT & Karegi)","Unknown instrumental produced by Yeat and Karegi. Previewed by Yeat in an Instagram Live on May 21, 2021, where he stated that he intended on using the instrumental.",,,,,Partial,Recording,https://pillows.su/f/91b8e4a9d1f1ee0b89254055eddf659f
4L,"Kankan - X & Oxy [Original Instrumental]
(feat. YEAT) (prod. sharkboy)
(X n Oxy)","Original instrumental for ""X & Oxy"" by Kankan featuring YEAT, only produced by sharkboy. Uploaded to YouTube under the title '[FREE] Ken Carson + Hyperpop + Playboi Carti Type Beat ""3t3rnAl"" [sharkboy],' however, now removed.",,,3:22,,Full,High Quality,https://pillows.su/f/bd4f38cef92d1d20bb55f31cfd4656ba
4L,"KillBunk - Pop Out
(feat. Yeat) (prod. L4zzz & ​​juju)
(Popout)","OG Filename: cop out
Instrumental for ""Pop Out."" Leaked on January 28, 2026.",,,2:12,,OG File,CD Quality,https://pillows.su/f/ee6ae0d6c5e8ffb36e298f0f2a086f0d
4L,"SayRocket - Keep Up
(feat. Yeat) (prod. 100mph)","OG Filename: piggy_bank_-_100mph_150_Cm
Previewed by 100mph in an Instagram Story.",,,2:50,150,Snippet,High Quality,https://pillows.su/f/6a63a574abbf63172e7495d055bb3061
4L,"SeptembersRich - 5 2 Üh 60
(feat. Yeat) (prod. Manish & SUBZEROSWIZ)
(5 2 Uh 60, 5 2 A 60)","Official instrumental for ""5 2 Üh 60"" by SeptembersRich fetauring Yeat. Uploaded to co-producer Manish's YouTube channel on September 30, 2021, titled ""SEPTEMBERSRICH&YEAT-5 2 ÜH 60 (instrumental) (prod.subzeroswiz+manish*).""",,,2:24,,Full,High Quality,https://pillows.su/f/c98780a5f25bbd4d1ff93b0c0f7620af
4L,"SeptembersRich - All Different
(feat. YEAT) (prod. Luca Malaspina)","OG Filename: 751 - maison2500 x lancey foux type beat - _brainwashed_ D MINOR 160BPM @lucamalaspinabeats
Original instrumental for ""All Different"" by SeptembersRich featuring Yeat. Posted to the producer's SoundCloud and YouTube channel on October 17, 2020, titled ""MAISON2500 X LANCEY FOUX TYPE BEAT - ""BRAINWASHED"".""",,,2:15,160,OG File,CD Quality,"https://pillows.su/f/cd3fffd3c2ee84a9cd1afa982c19f973
https://youtu.be/4_Tm3Fucv88
https://air.bi/ilUGK
https://soundcloud.com/lucamalaspina/maison2500-x-lancey-foux-type-beat-brainwashed"
,Up 2 Më [V1],,,,,,,,
,Instrumentals,,,,,,,,
