Era,Name,Notes,Image / Length,Date Made,Type,Available Length,Quality,Link(s)
Alivë,"Juice WRLD & Young Thug - Bad Boy [V11]
(prod. Pi'erre Bourne)
(Will Smith And Martin Lawrence, 2 up)","OG Filename: THUG x JUICEWRLD - BAD BOY v4 ML mix v13 premaster
Premaster version of ""Bad Boy"" by Juice WRLD and Young Thug. File exported on December 18, 2020. Yeat recorded his own remix of the track titled ""2 up,"" over a re-produced instrumental by Curesful.",2:47,"Dec 18, 2020",Other,OG File,Lossless,https://pillows.su/f/1819a74e039cb766306f05378f7a7ba1
Alivë,"Trippie Redd - Miss The Rage [V1]
(prod. Loesoe)
(Cant See, Bak 2 bak / Truth, Finally #FRËË, Finally Free)","Original version of ""Miss The Rage"" by Trippie Redd. Previewed by Trippie Redd in an Instagram post on December 21, 2020.",,,Other,Snippet,Recording,Link Needed
Alivë,"Trippie Redd - Miss The Rage [V2]
(prod. Loesoe)
(Cant See, Bak 2 bak / Truth, Finally #FRËË, Finally Free)","OG Filename: Miss The Rage (OPEN VERSE)
Open verse version of ""Miss The Rage"" dated February 19, 2021 with an open verse for Playboi Carti.",3:57,"Feb 19, 2021",Other,OG File,CD Quality,https://pillows.su/f/0295a5abced7c0ca3c1fa23df1aad6bc
Alivë,"Trippie Redd & Playboi Carti - Miss The Rage [V3]
(prod. Loesoe)
(Cant See, Bak 2 bak / Truth, Finally #FRËË, Finally Free)","OG Filename: 01 MTR PBC 3.26.21-2
OG file for ""Miss The Rage"" by Trippie Redd and Playboi Carti with a rougher mix. Playboi Carti's vocals were recorded on March 6, 2021. Yeat recorded ""Cant See"" using a re-produced version of the instrumental, and ""Finally #FRËË,"" which uses a reversed, re-produced version of the instrumental, both produced by Curesful.",3:57,"Mar 26, 2021",Other,OG File,CD Quality,https://pillows.su/f/47cef39579e4ab0f306f5890abdbcbfa
,"4L with us
(4L [V1])","(Late February 2021) (Yeat begins working on 4L with us alongside Alivë)
(April 2, 2021) (Alivë is officially released)",,,,,,
,Never Recorded,,,,,,,
4L with us,"Izaya Tiji - fold up
(feat. Yeat)","OG Filename: fold up
Open verse demo from Izaya Tiji that Yeat never recorded on. Dated March 28, 2021. Filename teased by Yeat while previewing ""Chanëlly"" in an Instagram post. The demo leaked on October 17, 2025.",1:59,"Mar 28, 2021",Other,Never   Recorded,Not Available,https://pillows.su/f/0e045e4a138d8511c7cc3c7b9894548e
,"4L
(4L with us)",,,,,,,
,Never Recorded,,,,,,,
4L,"2muchX
(prod. YEAT)","OG Filename: 2muchX prod yeat ...
Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,Instrumental,Never   Recorded,Not Available,Link Needed
4L,"Catch a Vybe
(prod. YEAT)","OG Filename: Catch a Vybe 147 prod yeat
Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,Instrumental,Never   Recorded,Not Available,Link Needed
4L,"Dëmon
(prod. YEAT)","OG Filename: Dëmon 137
Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,Instrumental,Never   Recorded,Not Available,Link Needed
4L,"luh X
(prod. YEAT)","OG Filename: luh X. 148bpm. prod yeat 1
Filename teased by Yeat while previewing ""Sorry Bout That"" in an Instagram Live on May 21, 2021.",,,Instrumental,Never   Recorded,Not Available,Link Needed
4L,"LuvIsRage
(prod. YEAT)
(Luv Is Rage)","OG Filename: LuvIsRage-145bpm
Filename teased by Yeat while previewing ""Sorry Bout That"" in an Instagram Live on May 21, 2021.",,,Instrumental,Never   Recorded,Not Available,Link Needed
4L,Newlight,"OG Filename: Newlight
Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,Unknown,Confirmed,Not Available,Link Needed
4L,"wokstar
(prod. YEAT)","OG Filename: wokstar 160 bpm
May be an instrumental. Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,Instrumental,Never   Recorded,Not Available,Link Needed
4L,"???
(prod. Lukovic)
(138 yeat luk)","OG Filename: 138 yeat luk
Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,Instrumental,Never   Recorded,Not Available,Link Needed
4L,"???
(prod. Lukovic)
(159 luk)","OG Filename: 159 luk
Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,Instrumental,Never   Recorded,Not Available,Link Needed
4L,"???
(prod. Lukovic)
(159 lukk)","OG Filename: 159 lukk
Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,Instrumental,Never   Recorded,Not Available,Link Needed
4L,"???
(Output 1-2)","OG Filename: Output 1-2
Filename teased by Yeat in an Instagram Live on June 7, 2021.",,,Unknown,Never   Recorded,Not Available,Link Needed
,Other,,,,,,,
