Era,Name,Tracklist,Image,Date Made,Quality,Source,Link(s)
4L with us,4L with us,"Tracklist previewed by Yeat while previewing ""Stood Taller"" on March 27, 2021 or earlier.

#?. Më (Trëndy)
#?. Sleeptalking
#?. Rackz IN
#?. Stood Taller
#?. risk (with Izaya Tiji)",,"Mar 27, 2021",Blocked,Yeat,Link Needed
4L with us,4L with us,"Tracklist previewed by Yeat while previewing ""Chanëlly"" on Instagram likely around March 28, 2021.

#?. Chanëlly
#?. death note
#?. Gö (feat. Izaya Tiji & SeptembersRich)
#?. fold up - Izaya Tiji",,Date Needed,Blocked,Yeat,Link Needed
Alivë,Alivë,"Official tracklist for Alivë.

1. Always Alivë
2. Tonka
3. Diëd B4
4. Oh eX whY
5. Bäk 2 BED
6. Trëndy
7. X ta C
8. Liftëd
9. Wavëy Krazy
10. Feel it
11. Balënci Feet
12. Supër Test
13. Swërve
14. WAR 1
15. Twizzy
16. Bizzy
17. 2 Up
18. Last Day
19. Tru to U
20. Cöming Down
21. Sleeptalking
22. Every Sunday",Official Release,"Apr 2, 2021",Clear,Yeat,Link Needed
4L,4L,"Note titled ""4L songz pt 2"" containing a list of tracks seemingly intended for 4L, created on April 1, 2021 and modified on May 11, 2021. Leaked on April 18, 2026.

#?. 1st thing 1st
#?. 24/7
#?. all 4 nothin [V1]
#?. Bak in town
#?. Dead Man
#?. Feel More (Feel more)
#?. Feel sum
#?. Me vs tha world
#?. Otw!!
#?. Really Rlly
#?. Sit bakk
#?. X-mas [V1]
#?. X",,"Apr 1, 2021",Blocked,Leaked,https://i.ibb.co/k6xdFgL4/2026-04-18-4-L-songz-pt-2-Leaked-Note.png
4L,4L,"Tracklist previewed by Yeat while previewing ""Ight"" and ""wat u did today.""

#?. 2 be honest (Wokeup)
#?. Ight
#?. Brang it in
#?. wat u did today",,Date Needed,Blocked,Yeat,Link Needed
4L,4L,"Tracklist previewed by Yeat while previewing ""Truely"" on April 14, 2021.

#?. All I See
#?. Truely
#?. barbados
#?. Really Rlly
#?. Stupid Rich shyt",,"Apr 14, 2021",Blocked,Yeat,Link Needed
4L,4L,"Early tracklist for 4L, previewed while previewing ""All 4 nothin"" on April 24, 2021.

12. Cali
13. Me vs tha world
14. All 4 nothin
15. Bëst Side (Bëd Side)",,"Apr 24, 2021",Blocked,Yeat,https://api.pillows.su/api/download/56cf68eb5c6483e4e14dd743f1d3df90
4L,4L,"Tracklist previewed by Yeat while previewing ""Way 2 tall"" between April 26 and May 2, 2021.

#?. Way 2 tall (Sidëwayz)
#?. Sayin words
#?. Popout
#?. X",,Date Needed,Blocked,Yeat,Link Needed
4L,4L,"Tracklist previewed by Yeat while previewing ""Rëal life"" (Livë Hi) on May 3, 2021.

#?. Did wrong
#?. X Luv
#?. Rëal life (Livë Hi)",,"May 3, 2021",Blocked,Yeat,Link Needed
4L,Album prod me only,"Note titled ""Album prod me only"" containing a list of tracks seemingly intended for a self-produced project despite containing tracks produced by other producers. Likely created in early May 2021 and was later modified on July 14, 2021. Leaked on April 18, 2026.

#?. Cant Get up
#?. Hard 2 Miss
#?. Simple",,Date Needed,Blocked,Leaked,https://i.ibb.co/TBGpD8vq/2026-04-18-Album-prod-me-only-Leaked-Note.png
4L,Unknown Scrapped Mixtape,"In an Instagram Live on May 8, 2021 with Kankan and SeptembersRich, Yeat mentions in a conversation with a guest about plans on releasing a 6-track mixtape prior to the release of 4L, due to the album potentially taking too long to release.

1. ???
2. ???
3. ???
4. ???
5. ???
6. ???",N/A,"May 8, 2021",N/A,Yeat,N/A
4L,4L,"Early tracklist for 4L, partially previewed by Yeat while previewing ""Talk 2 Göd"" on May 9, 2021.

#1. Forëally (Forëally / 4Ly)",,"May 9, 2021",Blocked,Yeat,Link Needed
4L,4L,"Tracklist previewed by Yeat while previewing ""never changed"" on May 14, 2021.

#?. whole lot different
#?. Sayin words
#?. Bëtter Lyfe
#?. never changed",,"May 14, 2021",Blocked,Yeat,Link Needed
4L,YEAT + FRIEND$,"An unknown scrapped project was privately uploaded to Yeat's SoundCloud on May 14, 2021 with artwork, listed in the order of the time it was uploaded:

#?. Cöld World (feat. TyFontaine)
#?. Gö (feat. Izaya Tiji & SeptembersRich)",N/A,"May 14, 2021",N/A,Leaked,Link Needed
