 Era,Name,Notes,Source,Type,Currently Available,Link(s),,
The Marshall Mathers LP,"Dr. Dre - Forgot About Dre (Instrumental)
(prod. Dr. Dre & Mel-Man)","Official instrumental for ""Forgot About Dre"".",Instrumental Album,Instrumental,Full Lossless,https://pillows.su/f/43b9651d5c86e22e6988a4d5b2cf52b8,,
The Marshall Mathers LP,"Dr. Dre - The Watcher (Instrumental)
(prod. Dr. Dre & Mel-Man)",Released on the 2001 Instrumental album.,Instrumental Album,Instrumental,Full Lossless,https://pillows.su/f/63ecc7e37f8c6972e11c63be078cbeaf,,
The Marshall Mathers LP,"Dr. Dre - What's The Difference? (Instrumental)
(prod. Dr. Dre & Mel-Man)",Released on the 2001 Instrumental album.,Instrumental Album,Instrumental,Full Lossless,https://pillows.su/f/a4fd595301a5cb557be59ddfa0dbd96b,,
The Marshall Mathers LP,"Funkmaster Flex & Big Kap - If I Get Locked Up (Instrumental)
(prod. Rockwilder)","Official Instrumental for ""If I Get Locked Up"".",Instrumental Album,Instrumental,Full CDQ,https://pillows.su/f/10c42ba7983db50072831511949aba53,,
The Marshall Mathers LP,Sway & King Tech - The Anthem (Instrumental),"Official Instrumental for ""The Anthem""",CD Single,Instrumental,Full Lossless,https://pillows.su/f/11ecfe2b7dadb1d3203543435e02bd45,,
The Marshall Mathers LP,"The Notorious B.I.G. - Dead Wrong (Instrumental)
(prod. Chucky Thompson, Yello Man & P. Diddy)","Has one instrumental from vinyl, and another from a promo CD.",Other,Instrumental,Full Lossless,"https://pillows.su/f/9c8fab7b43f439d113858eb76ca75dd0
https://pillows.su/f/41e1c3540645d3f3a949300cd30cc34b",,
,Acapellas,"
",,,,,,
The Marshall Mathers LP,Kill You (Acapella),"OG Filenames: Kill You-ACCA / Kill You-ACCA-04 / Kill You Accent Track_01 / Kill You ALT Accent Track_01
Includes 2 different files for the vocals and 2 ""accent"" tracks. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,"Acapella
Alternate
Accent Track 1
Accent Track 2",,
The Marshall Mathers LP,Stan (Acapella),"OG Filename: Stan ACCA
The acapella replays itself. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/079d04fc068b27439a690035b2f1b25c,,
The Marshall Mathers LP,The Way I Am (Acapella) [Explicit],"Official explicit acapella for ""The Way I Am"".",Single Vinyl,Acapella,Full Lossless,https://pillows.su/f/aeeb595e78f173374399730ea532d376,,
The Marshall Mathers LP,The Way I Am (Acapella) [Clean],"OG Filename: The Way I Am - ACCA
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/f32cf3a4597e522e374b59e8f0687630,,
The Marshall Mathers LP,The Real Slim Shady (Acapella),"Official acapella for ""The Real Slim Shady""",CD Single,Acapella,Full Lossless,https://pillows.su/f/8e79f573d517369e1a99b8cf8a6b2eae,,
The Marshall Mathers LP,"Under The Influence [V1] (Acapella)
(feat. D12)","OG Filename: Under The Influence_ACCA
Contains additional unheard Proof vocals in the outro. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/9279e770fc3a67a5a3f1524a7ca2191c,,
The Marshall Mathers LP,Any Man (Acapella),"Official acapella for ""Any Man"".",Single Vinyl,Acapella,Full Lossless,https://pillows.su/f/22f92316a8f3c25a654c8d5ca058e788,,
The Marshall Mathers LP,"Dr. Dre - Forgot About Dre (Acapella)
(feat. Eminem)",Source unknown.,Unknown,Acapella,Full HQ,https://pillows.su/f/564e51da33742d94ef70ef6cc3ccb16d,,
The Marshall Mathers LP,"Sway & King Tech - The Anthem (Acapella)
(feat. RZA, Tech N9ne, Eminem, Xzibit, Pharaohe Monch, Kool G Rap, Chino XL, KRS-One & Jayo Felony)","Official acapella for ""The Anthem"".",CD Single,Acapella,Full CDQ,https://pillows.su/f/dde4fdec66b1ec1860f091ec8020d7bb,,
The Marshall Mathers LP,"Sway & King Tech - The Anthem (Acapella) [Clean]
(feat. RZA, Tech N9ne, Eminem, Xzibit, Pharaohe Monch, Kool G Rap, Chino XL, KRS-One & Jayo Felony)","Official clean acapella for ""The Anthem"".",CD Single,Acapella,Full Lossless,https://pillows.su/f/0097ad03521e393a2a22eedbe2d4a12b,,
The Marshall Mathers LP,The Notorious B.I.G. - Dead Wrong (Acapella),Source unknown. Lacks Eminem's verse.,Unknown,Acapella,Partial HQ,https://pillows.su/f/413bc5ce190ba47a996c9cbf037ae486,,
"12 Total
6 Instrumental
6 Acapella","Devil's Night
(Collaboration with D12)
(Trouble)","(05/23/2000) (The Marshall Mathers LP releases)
(06/19/2001) (Devil's Night releases)",,,"After the success of The Slim Shady LP, Eminem kept his promise and brought D12 with him. Making their first appearences on MMLP (Amityville & Under The Influence respectively). They would name Devil's Night after a tradition in Detroit where the night before Halloween (October 30th), which had to do with vandelism and arson.",,,
,Instrumentals,,,,,,,
Devil's Night,"Pistol Pistol (Instrumental)
(prod. Eminem)","Official instrumental for ""Pistol Pistol"".",Promo CD,Instrumental,Full CDQ,https://pillows.su/f/993ba2414ab3aaa461da2b8498199a5c,,
Devil's Night,"That's How (Instrumental)
(prod. Mr. Porter & Eminem)","Official instrumental for ""That's How"".",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/a17ec4fa49d9e8209563ce560b343eac,,
Devil's Night,"Purple Pills (Instrumental)
(prod. Eminem)","Official instrumental for ""Purple Pills"".",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/f6121e266035864051553e59e4be954f,,
Devil's Night,"Fight Music (Instrumental)
(prod. Dr. Dre)","Official instrumental for ""Fight Music"".",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/7ac9402846c4102cae301440d6119899,,
Devil's Night,"Blow My Buzz (Instrumental)
(prod. Eminem)","Official instrumental for ""Blow My Buzz"".",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/5433b501be15defcffc3c35f6f96d9b8,,
Devil's Night,"Shit On You (Instrumental)
(prod. DJ Head & Eminem)","Official instrumental for ""Shit On You"".",Expanded Edition,Instrumental,Full Lossless,https://pillows.su/f/ca7fe9cf53c0496a8b1b86e21e3345b2,,
,Acapellas,"
",,,,,,
Devil's Night,Pistol Pistol (Acapella),"Official acapella for ""Pistol Pistol"".",Single Vinyl,Acapella,Full HQ,https://pillows.su/f/98e65626638a4989b01412374e649fb1,,
Devil's Night,That's How (Acapella),"Official acapella for ""That's How"".",Single Vinyl,Acapella,Full HQ,https://pillows.su/f/555e063f97c1916817cb9c414b73178e,,
Devil's Night,Purple Pills [V1] (Acapella),"OG Filename: Purple Pills ACCA
Contains the uncensored ""infant"" line. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/7c72682dcc8395eb1cfd2c9aa4ab613b,,
Devil's Night,Fight Music (Acapella),"OG Filename: Fight music ACCA
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/db181fbb9102f29c0b85746d6fb3ddd7,,
Devil's Night,Blow My Buzz (Acapella),"Official acapella for ""Blow My Buzz"".",Single Vinyl,Acapella,Full HQ,https://pillows.su/f/218fe73fa19ac8bb0cdf782e942e96b3,,
Devil's Night,Shit On You (Acapella),"Official acapella for ""Shit On You"".",Expanded Edition,Acapella,Full Lossless,https://pillows.su/f/c925a90841c0441fd4a8be3ac85452b1,,
"39 Total
22 Instrumental
17 Acapella","The Eminem Show
(Nothing Mathers, The Eminem LP)","(05/23/2000) (The Marshall Mathers LP releases)
(05/26/2002) (The Eminem Show releases)",,,"Work on The Eminem Show would start during the making of 8 Mile with the song ""Sing For The Moment"". Originally slated for a June 4th, 2002 release, but was pushed ahead after it got leaked weeks in advance. The song ""Stimulate"" was supposed to be in Say Goodbye To Hollywood's place.",,,
,Instrumentals,,,,,,,
The Eminem Show,"White America (Instrumental)
(prod. Eminem & Jeff Bass)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/95bb5219ee586a511ec9701056e43c07,,
The Eminem Show,"Business (Instrumental)
(prod. Dr. Dre)","Official instrumental for ""Business"".",Expanded Edition,Instrumental,Full CDQ,https://pillows.su/f/7cd55b6b3203472a3bb8a409b04dcaa1,,
The Eminem Show,"Cleanin' Out My Closet [V3] (Instrumental)
(prod. Eminem, DJ Head & Jeff Bass)","Official instrumental for ""Cleanin' Out My Closet"", slightly longer than release.",Expanded Edition,Instrumental,Full CDQ,https://pillows.su/f/7ddf6362f3c47bf60a1563f339d99fe4,,
The Eminem Show,"Square Dance [V1] (Instrumental)
(prod. Eminem & Jeff Bass)","Official instrumental for ""Square Dance"". Slightly longer than release.",Expanded Edition,Instrumental,Full CDQ,https://pillows.su/f/2dc9c0ed891d8400fff5e0b8882b82fa,,
The Eminem Show,"Soldier (Instrumental)
(prod. Eminem)",Leaked by Joe Strange. Includes the part from The Kiss.,Leak,Instrumental,Full CDQ,https://pillows.su/f/2c0ac17edbd96fcd9862f3f90d9835b9,,
The Eminem Show,"Say Goodbye Hollywood (Instrumental)
(prod. Eminem)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/ead8328972dc177318ef07ef6a4c79ec,,
The Eminem Show,"Drips (Instrumental)
(prod. Eminem & Jeff Bass)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/fe28e99c99cc810783a55d92a303120d,,
The Eminem Show,"Without Me (Instrumental)
(prod. Eminem, Jeff Bass & DJ Head)","Official instrumental for ""Without Me"".",Expanded Edition,Instrumental,Full CDQ,https://pillows.su/f/ee290b81570ded9f77e40dce4a2a7524,,
The Eminem Show,"Sing For The Moment (Instrumental)
(prod. Eminem & Jeff Bass)","Official instrumental for ""Sing For The Moment"", slightly longer than release.",Expanded Edition,Instrumental,Full CDQ,https://pillows.su/f/ada0778c6c0862ec97aaf92d4e737a6c,,
The Eminem Show,"Superman [V2] (Instrumental)
(prod. Eminem & Jeff Bass)","Version of the Superman instrumental that was released the Expanded Edition, longer than release.",Expanded Edition,Instrumental,Full CDQ,https://pillows.su/f/d08d9370eae5812b986028416172da1a,,
The Eminem Show,"Superman (Instrumental)
(prod. Eminem & Jeff Bass)","Official instrumental for ""Superman"".",Single Vinyl,Instrumental,Full Lossless,https://pillows.su/f/044973d6c68ebf1ff7a9a27230fd0b3c,,
The Eminem Show,"Hailie's Song [V2] (Instrumental)
(prod. Eminem)","Leaked by Joe Strange, has an extended outro.",Leak,Instrumental,Full CDQ,https://pillows.su/f/309f48195c7169033334ee9501123ac8,,
The Eminem Show,"When The Music Stops (Instrumental)
(prod. Eminem & Mr. Porter)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/52914281f067ee971cd771eada7575c2,,
The Eminem Show,"Say What You Say (Instrumental)
(prod. Dr. Dre)","Official instrumental for ""Say What You Say"".",Expanded Edition,Instrumental,Full CDQ,https://pillows.su/f/4ac7034d51798c42525c8b9896a6ac06,,
The Eminem Show,"Till I Collapse (Instrumental)
(prod. Eminem)","Official instrumental for ""Till I Collapse"".",Expanded Edition,Instrumental,Full HQ,https://pillows.su/f/4e4f8260aeae22325b8a849d0565bb2e,,
The Eminem Show,"My Dad's Gone Crazy (Instrumental)
(prod. Dr. Dre)",Leaked by Joe Strange.,Leak,Instrumental,Full CDQ,https://pillows.su/f/d485244dfc4ec9c028a8b021a5ab7a9f,,
The Eminem Show,"Hellbound (H&H Remix) (Instrumental)
(prod. DJ Rob & Domingo)","Official instrumental for ""Hellbound"".",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/346888eb5333636dbf079d30e9666e31,,
The Eminem Show,I Remember (Instrumental),"Official instrumental for ""I Remember"".",Single Vinyl,Instrumental,Full CDQ,https://pillows.su/f/df05227a3df2d0c2e5e9db4b7dbf6a58,,
The Eminem Show,"Lose Yourself (Instrumental) [V1]
(prod. Jeff Bass & Eminem)","According to Eminem, the Lose Yourself loop was originally on a Jeff Bass beat CD, and Em decided to make it into a full beat and record on it.",Info,Instrumental,Not Available,https://genius.com/5140246,,
The Eminem Show,"JAY-Z - Renegade (Instrumental)
(prod. Eminem)","Official instrumental for ""Renegade"".",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/353042c0d3cb0cb0f13c278625574879,,
The Eminem Show,"Royce Da 5'9"" - Rock City [V1] (Instrumental)
(prod. Red Spyda)","Official instrumental for the original version of ""Rock City"".",Single Vinyl,Instrumental,Full HQ,https://pillows.su/f/98f67c250962c19f23b0524cf38d1bb5,,
The Eminem Show,"Royce Da 5'9"" - Rock City [V2] (Instrumental)
(prod. Red Spyda & Eminem)","Official instrumental for the 2nd version of ""Rock City"".",CD Single,Instrumental,Full CDQ,https://pillows.su/f/c7b79a3a370b8b07ff298c4e3fbd7203,,
,Acapellas,"
",,,,,,
The Eminem Show,White America (Acapella),"OG Filename: White Ameri ACA
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/b54569a7c77c9fe5136e38d8e74aec1d,,
The Eminem Show,Business (Acapella),"OG Filename: Business
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/76ba47eaa8ec276dbfb6cc73ca6ce4ff,,
The Eminem Show,Cleanin' Out My Closet (Acapella),"OG Filename: Closet aca
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/8f4ba716d0d4f502cc3ad6dca552e1ee,,
The Eminem Show,Cleanin' Out My Closet (Acapella) [Clean],"Official instrumental, released on the promo vinyl.",Promo CD,Acapella,Full CDQ,https://pillows.su/f/ff953707ebed3dcb623067a39cae7fca,,
The Eminem Show,Soldier (Acapella),"OG Filename: Soldier aca
Has a different BPM compared to release. Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/696b19f48026559a4c08614dd5b9b2e3,,
The Eminem Show,"Drips (Acapella)
(feat. Obie Trice)","OG Filename: Drips aca
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/a33066a45f84edaadd8cb9478f803669,,
The Eminem Show,Without Me (Acapella) [Explicit],"Official acapella for ""Without Me""",CD Single,Acapella,Full Lossless,https://pillows.su/f/aca501f6a12c3e11558deb458af2ba35,,
The Eminem Show,Without Me (Acapella) [Clean],"OG Filename: Without Me aca
Leaked in an acapella package on April 16th, 2025.",Leak,Acapella,Full Lossless,https://pillows.su/f/1b2d0946bff0f6c8c731e36d5592741e,,
The Eminem Show,"Superman (Acapella) [V2]
(feat. Dina Rae)",An acapella of Superman with an extended outro is in circulation.,Info,Acapella,Not Available,,,
The Eminem Show,"Superman (Acapella) [V3]
(feat. Dina Rae)","Official acapella for ""Superman""",Single Vinyl,Acapella,Full Lossless,https://pillows.su/f/57256afdea8a8a595f72d8c32efe8456,,
