Era,Name,Notes,Designer,Date,Art,Art Type,Use,Link(s)
KIDS,FukEmWeBall,"Screenshot taken from the film ""SNOW ON THA BLUFF"" which released 19th June 2012. The frame used in the cover art is from around 30:40.",Cutis Snow,,,Front Cover,Yes,/xgold/art/fukemweball.jpg
KIDS,KIDS,"Cover art used for the KIDS EP and tracks like you're thinking too much, TEASER , IGOTPLENTY & Elephant In The Room.",XXXTENTACION,,,Front Cover,Yes,/xgold/art/kids.jpg
KIDS,HIT THE DIRT,,,,,Front Cover,Yes,/xgold/art/hit-the-dirt.jpg
KIDS,SPACEGHOSTPUSSY (RIP YAMS),,,,,Front Cover,Yes,/xgold/art/spaceghostpussy-rip-yams.jpg
KIDS,PURRPOSELY,Photo of a young SpaceGhostPurrp.,SpaceGhostPurrp,,,Front Cover,Yes,/xgold/art/purrposely.jpg
KIDS,Dont Test Me (Remix),Mashup of Wifi's and X's logo combined. Could've been used for their Death Note collab but we don't know.,,,,Front Cover,Yes,/xgold/art/dont-test-me-remix.jpg
KIDS,Death Note,,,,,Front Cover,No,/xgold/art/death-note.png
KIDS,Fatality (Snippet),,,,,Front Cover,Yes,/xgold/art/fatality-snippet.jpg
KIDS,Fatality (Snippet) [Cover 2],,,,,Front Cover,Yes,/xgold/art/fatality-snippet-cover-2.jpg
KIDS,FAILURE IS NOT AN OPTION (Interlude),,,,,Front Cover,Yes,/xgold/art/failure-is-not-an-option-interlude.jpg
KIDS,#ImSippinTeaInYoHood,Has X's face plastered over an AriZona Tea ad,XXXTENTACION,,,Front Cover,Yes,/xgold/art/imsippinteainyohood.jpg
KIDS,EMOJI,,,,,Front Cover,Yes,/xgold/art/emoji.jpg
IWABOS,Jugg Walk ,NOTE: Image is a remake,,,,Front Cover,Yes,/xgold/art/jugg-walk.jpg
IWABOS,Jugg Walk [Cover 2],Cover art used for Jugg Walk. has Ski on the cover which was taken from a video.,Absentwill,,,Front Cover,Yes,/xgold/art/jugg-walk-cover-2.jpg
