Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Everyday Life,"Church (LA)
(feat. Stargate)","OG Filename: CHURCH LA V1Strings ref X 201901230D
Earlier demo, features more elements from the Tuscany jams.",4:54,,Today,Snippet,High Quality,Church (LA)
Everyday Life,Church (Spike Ref),"OG Filename: CHURCH SPIKE REF 4 LIM
Final 'The Lovers' mix of the song. Features a short second verse.",4:46,,"Mar 29, 2024",OG File,Lossless,Church
Everyday Life,Church (???),"OG Filename: CHURCH (A+F additional production) V1
Unknown mix. Listed among other demos in a screenshot.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Cinnamon (With Drums),"OG Filename: CINNAMON WithDrums RikLiveMonMix A 20171206E
Seemingly a properly recorded version of Gone But Not F. Cotton. Version with drums. Part of the Tuscany Sessions.",16:56,,"Mar 29, 2025",Full,High Quality,Cinnamon
Everyday Life,Cinnamon (Without Drums),"OG Filename: CINNAMON NoDrums RikLiveMonMix A 20171206E
Version without drums. Features elements of Until The Water Flows Over. Part of the Tuscany Sessions.",14:19,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Daddy (Demo),"OG Filename: DADDY WS crs FX, V1 voc ref X 20181001E
Demo from 2018, likely similar to the final mix. Produced by Stargate and has some percussion from the final version of the title track (Everyday Life).",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Daddy (Spike Ref),"OG Filename: DADDY SPIKE REF 1
Earlier mix of the one below, without WOTW/POTP.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Daddy - WOTW/POTP (Spike Ref),"OG Filename: DADDY SPIKE REF 3 - WOTW EW WP 20190325F
Slightly extended and missing the final chorus, with WOTW/POTP as a bonus track.",,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Dartmoor 1,Early version of Bani Adam without the poem.,,,N/A,Not Publicly Available,Not Available,N/A
Everyday Life,Dartmoor 2 / Everyday Life,"OG Filename: DARTMOOR 2 EVERYDAY LIFE BH MonMix X 20181220L
Early version of Everyday Story with Dartmoor (Bani Adam) as an intro.",,,N/A,Partial,Screen Recording,Dartmoor 2 / Everyday Life (Partial)
