Era,Name,,Designer,Art Type,Photo,Project Type,Use,Link(s)
Hurry Up Tomorrow,"São Paulo (Clean)
(with Anitta)",Same as the main São Paulo cover but without the parental advisory sticker. ,,Digital,,Front Cover,Used,
Hurry Up Tomorrow,Hurry Up Tomorrow [Early Cover]  ,Early draft cover for 'Hurry Up Tomorrow'. Leaked 11/18/24.,,Digital,,Front Cover,Unused,
Hurry Up Tomorrow,Hurry Up Tomorrow,"Official cover for 'Hurry Up Tomorrow'. Features Hurry Up Tomorrow in text, the tracklist, and a screaming Abel. Updated later on streaming services with more saturation and slightly higher resolution.",Andrew Cooper,Digital,,Front Cover,Used,
Hurry Up Tomorrow,Hurry Up Tomorrow,Same as the main Hurry Up Tomorrow cover but without the parental advisory sticker. Updated later on streaming services with more saturation and slightly higher resolution.,Andrew Cooper,Digital,,Front Cover,Used,
Hurry Up Tomorrow,Hurry Up Tomorrow,Initial release cover for 'Hurry Up Tomorrow' that is less saturated.,Andrew Cooper,Digital,,Front Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [Clean],Initial release cover for 'Hurry Up Tomorrow' that is less saturated and has no parental advisory sticker.,Andrew Cooper,Digital,,Front Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [First Pressing],Original cover for 'Hurry Up Tomorrow'. Used for the First Pressing cover. Was scrapped last minute for the new one.,,Digital,,Front Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [First Pressing] (Clean),Same as the main Hurry Up Tomorrow [First Pressing] cover but without the parental advisory sticker. ,,Digital,,Front Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [First Pressing] [Back],Back cover for alternate 'Hurry Up Tomorrow' cover.,,Scan,,Back Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [Collectors Edition #1],Alternate cover for 'Hurry Up Tomorrow'. Designed by Harmony Korine. Used for the Harmony Korine physcial print of the album.,Harmony Korine/ EDGLRD,Digital,,Front Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [Collectors Edition #1] [Back],Back cover for the Harmony Korine physcial print of the album.,Harmony Korine/ EDGLRD,Digital,,Back Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [Collectors Edition #2],Alternate cover for 'Hurry Up Tomorrow'. Designed by Hajime Sorayama. Used for the Sorayama physcial print of the album.,Hajime Sorayama,Digital,,Front Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [Collectors Edition #2] [Back],Back cover for the Sorayam physcial print of the album.,Hajime Sorayama,Digital,,Back Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [Collectors Edition #3],Alternate cover for 'Hurry Up Tomorrow'. Designed by Frank Miller. Used for the Frank Miller physcial print of the album.,Frank Miller,Digital,,Front Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [Collectors Edition #3] [Back],Back cover for the Frank Miller physcial print of the album.,Frank Miller,Digital,,Back Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [Collectors Edition #4],Alternate cover for 'Hurry Up Tomorrow'. Designed by Basquiat. Used for the Basquiat physcial print of the album.,Jean-Michel Basquiat,Digital,,Front Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [Collectors Edition #4] [Back],Back cover for the Basquiat physcial print of the album.,Jean-Michel Basquiat,Digital,,Back Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [00XO Edition],Alternate cover for 'Hurry Up Tomorrow'. Used for the 00XO Edition on the Hurry Up Tomorrow Club website.,Playboi Carti,Digital,,Front Cover,Alternate,
Hurry Up Tomorrow,Hurry Up Tomorrow [Pharrell Williams Edition],Alternate cover for 'Hurry Up Tomorrow'. Used for the Pharrell Williams Edition on the Hurry Up Tomorrow Club website.,Pharrell Williams ,Digital,,Front Cover,Alternate,
