Era,Name,"Notes
(Join the Gorillaz Tracker Discord Server!)",Designer,Art Type,Image,Project Type,Use,Link(s)
HUMANZ,"
Andromeda (Bonobo Remix)",,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/5/57/Andromeda_Bonobo.jpg/revision/latest?cb=20230628180538&format=original
HUMANZ,Ascension (Nic Fanciulli Remix),,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/2/28/Ascension_Nic_Fanciulli.jpg/revision/latest?cb=20230628180536&format=original
HUMANZ,"
Saturnz Barz (Banx & Ranx Remix)",,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/5/5a/Saturnz_Barz_Banx_%26_Ranx.jpg/revision/latest?cb=20230628180530&format=original
HUMANZ,"
We Got The Power (Claptone Remix)	
",,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/c/c8/We_Got_The_Power_Claptone.jpg/revision/latest?cb=20230628180526&format=original
HUMANZ,"
Andromeda (Purple Disco Machine Remix)",,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/f/fb/Andromeda_Purple_Disco_Machine.jpg/revision/latest?cb=20230628180540&format=original
HUMANZ,"
Andromeda (ZHU Remix)",,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/9/91/Andromeda_ZHU.jpg/revision/latest?cb=20230628180542&format=original
HUMANZ,Let Me Out (Banx & Ranx Remix),,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/b/b7/Let_Me_Out_Banx_%26_Ranx.jpg/revision/latest?cb=20230628180533&format=original
HUMANZ,"
Saturnz Barz (Baauer Remix)",,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://static.wikia.nocookie.net/kong/images/c/ca/Saturnz_Barz_Baauer.jpg/revision/latest?cb=20230628180532&format=original
HUMANZ,The Apprentice,,,,,Front Cover,Used,
HUMANZ,Humanz,,"Jamie Hewlett
& LuckyMe Studios",Digital,,Front Cover,Used,https://a5.mzstatic.com/us/r1000/0/Music122/v4/59/cd/b0/59cdb036-be24-a2ae-5c50-12e79acb7aa4/190295824853.jpg
