"Era","Name","Notes","Length","Release Date","Type","Streaming","Link(s)"
"Lost Files 2","⭐ Casket
(feat. Destroy Lonely) (prod. Dreek Beatz & Juberlee)","OG Filename: lonely x ken 3-2-21
Dropped by Texaco Cam after a fan asked Ken to drop a collab with Lonely. Possibly a throwaway from the Opium tape mentioned by Ken in his interview with Our Generation Music.","1:38","Mar 14, 2021","Single","No","https://pillows.su/f/ba3ec866b16a8fb347add0caecef433a"
"Lost Files 2","How It Feel
(prod. Richie Souf)","Released by Fullmetal Eddie on the official Sicko SoundCloud page.","1:42","Apr 2, 2021","Single","No","https://soundcloud.com/ken-carson-005/how-it-feel?si=8708bca6a96946ad8048ea688d603415&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"Lost Files 2","Shoot It Up
(prod. Khemics, DT, ​y2tnb, BryceUnknwn & Dynox)","OG Filename: ken carson - shoot it up v1.0
The first information about this song was posted by @metalgearsolid in his stories. He also confirmed that this is a new track. A few hours later, Sickö posted the track to their SoundCloud account.","1:55","Jun 9, 2021","Single","No","https://soundcloud.com/faze-kylojam/kencarson-shoot-it-up?si=24d07acd83bf4465b8418fea58690b8e&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"11 Album Track(s)
0 Single(s)
1 Feature(s)
0 Music Video(s)
0 Production
0 Other","","(Jul 10, 2021) (Lost Files 2 is released)
(Jul 23, 2021) (Project X is released)","","","","",""
"Project X","⭐ Who's Next
(prod. Loesoe)","OG Filename: ken carson - who's next v1.0
Track 1 on Project X.","1:44","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/0dCMTAOfCN54ik5qwQEsms?si=aeb6133f5a24437f"
"Project X","⭐ Rock N Roll
(prod. outtatown, ​starboy & Lil 88)
(Roll)","OG Filename: ken carson - roll v1.0
Track 2 on Project X.","2:28","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/7sdHMJvhKib3ReVPsZFbrf?si=839e3182ed8149d9"
"Project X","Party All Day
(prod. starboy & outtatown)","OG Filename: ken carson - party all day v1.2
Track 3 on Project X.","2:30","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/6ttxObu3D64nLg3aL44tpK?si=af386ff4cd5e433c"
"Project X","⭐ Change
(prod. outtatown, ​starboy & Lil 88)","OG Filename: Kens First Song Change v2.0
Track 4 on Project X.","2:40","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/0MyP4cSQBIkyogzz8xWwHQ?si=9732968175584dcf"
"Project X","⭐ Run + Ran
(prod. starboy & outtatown)
(Never Running Out)","OG Filename (First Half): ken carson - never running out v1.0
Track 5 on Project X.","4:04","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/7dZ9oSkQlxo0kHEgyS8WSD?si=f4fc799e800340c3"
"Project X","Shake
(prod. starboy & outtatown)","OG Filename: ken carson - shake v1.0
Track 6 on Project X.","2:06","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/6d5rh84MlPPygK9MHtyTua?si=9039ed8430f441dc"
"Project X","⭐ Hella
(prod. outtatown, ​bart how & ​starboy)","OG Filename: ken carson - hella v2.1
Track 7 on Project X.","2:41","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/4EEX7k5Bo5iBdJC6hZJGo1?si=4250a50882d14c3f"
"Project X","⭐ Clutch
(prod. Rok & Fallwood)","OG Filename: ken carson -clutch v1.0
Track 8 on Project X.","2:11","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/11GKYHTMZHqIH6wR03pA4t?si=30f240e4169441a5"
"Project X","Till I Die
(prod. Lil 88 & outtatown)","Track 9 on Project X.","2:09","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/4NzPu7OvB0nl5XWv3fso5U?si=db904bfbfbac4566"
"Project X","Burnin Up
(prod. DT, BryceUnknwn, ​y2tnb & Dynox)","Track 10 on Project X.","2:34","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/6GOtK8sx77UL2Gy8KgLtWv?si=e9bbe2377a0646df"
"Project X","⭐ So What
(prod. KP Beatz & Rok)","Track 11 on Project X.","2:13","Jul 23, 2021","Album Track","Yes","https://open.spotify.com/track/2EL9yzooOZp5BN2BCi4LSz?si=1f2a6d5139aa4c3f"
"Project X","✨ Outlet1 - CRACK!
(feat. Ken Carson) (prod. MadMaxX)","A single released by Outlet1 during April 2021.","1:41","Apr 12, 2021","Feature","No","https://soundcloud.com/outlet1/crack-ft-ken-carson?si=db889984cc544576a735cd348ff0d663&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"13 Mixtape Track(s)
6 Single(s)
2 Feature(s)
1 Music Video(s)
0 Production
0 Other","","(Jul 23, 2021) (Project X is released)
(Jan 29, 2022) (lost_files_3 is released)
[Download Tagged Compilation]","","","","",""
"lost_files_3","hang_fire :/
(prod. starboy & outtatown)
(Do It Enough)","OG Filename: ken carson - do it enough v1.2
Track 1 on lost_files_3.","2:42","Jan 29, 2022","Mixtape Track","No","https://soundcloud.com/kencarson/hang_fire?in=darrious-coleman-994117925/sets/lost-files-3&si=2576ab49eb4d4ea5b2272ccf8089f0e9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"lost_files_3","⭐ gang
(feat. Lil Tecca & Destroy Lonely) (prod. ISSY & ​ilykimchi)
(No Friends)","OG Filename: ken tec lone - no friends v1.0
Track 2 on lost_files_3.","2:49","Jan 29, 2022","Mixtape Track","No","https://soundcloud.com/kencarson/gang_ft_lil_tecca_and_destroy_lonely?in=darrious-coleman-994117925/sets/lost-files-3&si=4f3126180593408abc3722701629a33e&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"lost_files_3","⭐ drugs_over_love :{
(prod. Jonah Abraham)
(Drugs>Love)","OG Filename: Ken Carson - Drugs over Love v2 ML (paramount X 13)
Track 3 on lost_files_3.","3:00","Jan 29, 2022","Mixtape Track","No","https://soundcloud.com/kencarson/drugs_over_love?in=darrious-coleman-994117925/sets/lost-files-3&si=af9ced119dbb4b12b962668047348e9d&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"lost_files_3","⭐ i_influence
(prod. Earl on the Beat)
(Contagious)","OG Filename: ken carson - contagious v1.2
Track 4 on lost_files_3.","2:35","Jan 29, 2022","Mixtape Track","No","https://soundcloud.com/kencarson/i_influence?in=darrious-coleman-994117925/sets/lost-files-3&si=141887b0b8394da888cd1ee5f6231049&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"lost_files_3","⭐ r_u_srs_?
(prod. Loesoe)
(r u srs)","OG Filename: ken carson - r u srs v2.0 open
Track 5 on lost_files_3.","3:34","Jan 29, 2022","Mixtape Track","No","https://soundcloud.com/kencarson/r_u_srs?in=darrious-coleman-994117925/sets/lost-files-3&si=d17ea697ee004952bf18923152a341da&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"lost_files_3","murder_musik
(feat. Destroy Lonely) (prod. Rok, ​bart how & 4VRLIT)
(Murda Musik)","OG Filename: Ken lonely - murda music v1 (ML 21)
Track 6 on lost_files_3. Re-released on ""X.""","2:56","Jan 29, 2022","Mixtape Track","Yes","https://lastshare.org/share/Or50Bzh7pKIOlfq
https://open.spotify.com/track/6N0I4EqoaIHib3W1LFPMzC?si=266bcfeda0544bed"
"lost_files_3","upside_down
(prod. starboy & outtatown)
(Upside Down)","OG Filename: ken carson - upside down v1.0
Track 7 on lost_files_3.","1:56","Jan 29, 2022","Mixtape Track","No","https://soundcloud.com/kencarson/upside_down?in=darrious-coleman-994117925/sets/lost-files-3&si=63116a13627c4bbb87c7011a82ae1562&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"lost_files_3","sh00t
(prod. F1LTHY, Lukrative & M2K)
(Shoot)","OG Filename: ken carson - shoot v1.0
Track 8 on lost_files_3.","2:10","Jan 29, 2022","Mixtape Track","No","https://lastshare.org/share/QH5l2p2mFCuWl7R
https://soundcloud.com/kencarson/sh00t?in=darrious-coleman-994117925/sets/lost-files-3&si=ac649491fea54b74884f4bf04ef56cf4&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"lost_files_3","✨ over_dosed
(prod. starboy & outtatown)
(What U Need)","OG Filename: Ken Carson - What U Need v2.0
Track 9 on lost_files_3.","2:00","Jan 29, 2022","Mixtape Track","No","https://soundcloud.com/kencarson/over_dosed?in=darrious-coleman-994117925/sets/lost-files-3&si=ffb28b2d8c4a4e37a83cfc53ef641d52&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"lost_files_3","by_my_lonely
(feat. JBan$2Turnt)","OG Filename: JBANS X KEN
The song was added to lost_files_3 at a later date as track 10.","2:47","","Mixtape Track","No","https://lastshare.org/share/vew9LwebFPqrmdL
https://soundcloud.com/ken-carson-005/by-my-lonely?si=f7d4064c72b849a787ac8936b0e0c2f1&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"lost_files_3","⭐ raver
(with Destroy Lonely) (prod. UpMadeIt, Lil 88 & Nawbilly)","OG Filename: Ken Carson x Lonely - 1 11.4.21
The song was added to lost_files_3 at a later date as track 11.","3:34","","Mixtape Track","No","https://lastshare.org/share/pzfD1JwnNJcv7Un
https://soundcloud.com/destroylonelyarchive/destroy-lonely-ken-carson-raver-prod-upmadeit-lil-88-nawbilly?si=c836ac5622f742c2adee2e14f9da419a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing"
"lost_files_3","⭐ exodus
(with Destroy Lonely) (prod. Lil 88)","OG Filename: Ken Carson x Lonely - 2 11.4.21
The song was added to lost_files_3 at a later date as track 12.","3:17","","Mixtape Track","No","https://lastshare.org/share/YeaPuC3VmJm1uGo"
