Era,Name,Notes,Link(s),Release Date,Type,Length,Available Length,Quality
Bad,Smooth Criminal [Extended Dance Mix],,,1988,Remix,7:47,Full,CD Quality
Bad,Smooth Criminal [Extended Dance Mix Radio Edit],,,1988,Remix,5:25,Full,CD Quality
Bad,"Smooth Criminal [""Annie"" Mix]",,,1988,Remix,5:37,Full,CD Quality
Bad,Smooth Criminal [Dance Mix - Dub Version],,,1988,Remix,4:48,Full,CD Quality
Bad,Smooth Criminal [A Cappella],,,1988,Remix,4:13,Full,CD Quality
Bad,Smooth Criminal [Instrumental],,,1988,Remix,4:10,Full,CD Quality
Bad,Liberian Girl [Edit],,,1989,Remix,3:39,Full,CD Quality
Bad,Speed Demon [Single Edit],,,1989,Remix,4:01,Full,Lossless
Dangerous,Black Or White [Single Edit],,,1991,Remix,3:23,Full,CD Quality
Dangerous,Black Or White [Instrumental],,,1991,Remix,3:23,Full,CD Quality
Dangerous,Black Or White [The Clivillés & Cole House/Club Mix],,,1991,Remix,7:33,Full,CD Quality
Dangerous,Black Or White [The Clivillés & Cole House/Dub Mix],,,1991,Remix,6:27,Full,CD Quality
Dangerous,Black Or White [Underground House],,,1991,Remix,7:30,Full,CD Quality
Dangerous,Black Or White [House With Guitar Radio Mix],,,1991,Remix,3:53,Full,CD Quality
Dangerous,Black Or White [Tribal Beats],,,1991,Remix,3:34,Full,CD Quality
Dangerous,Someone Put Your Hand Out,,,1991,Non-Album Single,5:25,Full,CD Quality
Dangerous,"Dangerous Medley [Highlights From The ""Dangerous"" Album]",,,1991,B-side,6:15,Full,CD Quality
Dangerous,"Prelude / Heal The World [7"" Edit]",,,1991,Remix,4:31,Full,CD Quality
Dangerous,"Remember The Time [Silky Soul 12""]",,,1992,Remix,7:05,Full,CD Quality
Dangerous,"Remember The Time [Silky Soul 7""]",,,1992,Remix,4:21,Full,CD Quality
Dangerous,Remember The Time [E-Smoove's Late Nite Mix],,,1992,Remix,7:20,Full,CD Quality
Dangerous,Remember The Time [Silky Dub],,,1992,Remix,6:17,Full,CD Quality
Dangerous,Remember The Time [Silky Soul Dub],,,1992,Remix,6:23,Full,CD Quality
Dangerous,Remember The Time [New Jack Mix],,,1992,Remix,6:40,Full,CD Quality
Dangerous,Remember The Time [New Jack Main Mix],,,1992,Remix,6:50,Full,CD Quality
Dangerous,Remember The Time [New Jack Radio Mix],,,1992,Remix,4:00,Full,CD Quality
Dangerous,Remember The Time [Maurice's Undeground],,,1992,Remix,7:29,Full,CD Quality
Dangerous,Black Or White [The Underground Club Mix],,,1992,Remix,7:26,Full,CD Quality
Dangerous,"Black Or White [12"" Main Mix]",,,1992,Remix,4:47,Full,CD Quality
Dangerous,Black Or White [The Clivillés & Cole Radio Mix],,,1992,Remix,3:33,Full,CD Quality
Dangerous,Come Together,,,1992,B-side,5:25,Full,CD Quality
Dangerous,Don't Stop 'Til You Get Enough [Roger's Underground Solution],,,1992,Remix,6:22,Full,CD Quality
Dangerous,Rock With You [Masters At Work Remix],,,1992,Remix,5:29,Full,CD Quality
Dangerous,"In The Closet [7"" Edit]",,,1992,Remix,4:29,Full,CD Quality
Dangerous,In The Closet [The Mission],,,1992,Remix,9:20,Full,CD Quality
Dangerous,In The Closet [The Mission Radio Edit],,,1992,Remix,4:28,Full,CD Quality
Dangerous,In The Closet [Club Mix],,,1992,Remix,8:01,Full,CD Quality
Dangerous,In The Closet [The Underground Mix],,,1992,Remix,9:25,Full,CD Quality
Dangerous,In The Closet [The Underground Mix] ???,WIP.,,1992,Remix,5:38,Full,CD Quality
Dangerous,In The Closet [The Underground Dub],,,1992,Remix,6:27,Full,CD Quality
Dangerous,In The Closet [Touch Me Dub],,,1992,Remix,6:40,Full,CD Quality
Dangerous,"In The Closet [Ki's 12""]",,,1992,Remix,7:15,Full,CD Quality
Dangerous,In The Closet [Freestyle Mix],,,1992,Remix,6:25,Full,CD Quality
Dangerous,In The Closet [The Mix Of Life],,,1992,Remix,7:39,Full,CD Quality
Dangerous,In The Closet [Radio Edit],,,1992,Remix,4:36,Full,CD Quality
Dangerous,In The Closet [Club Edit],,,1992,Remix,4:09,Full,CD Quality
Dangerous,In The Closet [The Newark Mix],,,1992,Remix,7:07,Full,CD Quality
Dangerous,In The Closet [The Promise],,,1992,Remix,7:20,Full,CD Quality
Dangerous,In The Closet [The Vow],,,1992,Remix,4:49,Full,CD Quality
Dangerous,Remember The Time [New Jack Jazz [21]],,,1992,Remix,5:06,Full,CD Quality
Dangerous,"Jam [7"" Edit]",,,1992,Remix,4:03,Full,CD Quality
Dangerous,"Jam [Silky 7""]",,,1992,Remix,4:17,Full,CD Quality
Dangerous,Jam [Roger's Jeep Radio Mix],,,1992,Remix,3:57,Full,CD Quality
