Era,Name,Notes,"File
Date",Leak Date,Full Length,No. Of Tracks,Available Length,Quality,Link(s)
Bad,"Man In The Mirror (Single Mix)
(prod. Quincy Jones & Michael Jackson)",Official instrumental for the single mix of Man In The Mirror.,,,5:06,,Full,Lossless,https://pillows.su/f/9d4e5b1288f910d38cfdc0b94a86a0cc
Bad,"Man In The Mirror (Radio Edit)
(prod. Quincy Jones & Michael Jackson)",Official instrumental for the radio edit of Man In The Mirror.,,,4:55,,Full,Not Available,Link needed
Bad,"Smooth Criminal
(prod. Quincy Jones & Michael Jackson)",,,,6:04,,Stem Bounce,CD Quality,https://pillows.su/f/475776a7e0e646fad394841205274e34
Bad,"Smooth Criminal (Single Mix)
(prod. Quincy Jones & Michael Jackson)",Official instrumental for the single mix of Smooth Criminal.,,,4:11,,Full,Lossless,https://pillows.su/f/c5d8b19de746074000ce84c2bbedf982
Bad,"The Way You Make Me Feel
(prod. Quincy Jones & Michael Jackson)
(Hot Fever)",,,,5:12/5:24,,Stem Bounce,CD Quality,"https://pillows.su/f/af1e4b81a3d1a7f21ef7106e1e91488b 
https://pillows.su/f/65e832adea17ecc8d421be62a91e48e3 "
Bad,"The Way You Make Me Feel (7"" Re-Mix)
(prod. Quincy Jones & Michael Jackson)
(Hot Fever)","Official instrumental for the 7"" mix of The Way You Make Me Feel.",,,4:26,,Full,Lossless,https://pillows.su/f/a83b5b327673d0530bd043b199e8d184
,TV Tracks,,,,,,,,
Bad,"Smooth Criminal
(prod. Quincy Jones & Michael Jackson)",,,,6:04,,Stem Bounce,CD Quality,https://pillows.su/f/85b61ae9962b70e002c769f5dfca1546
"4 OG File(s)
12 Full
1 Tagged
0 Edited
5 Partial
1 Snippet(s)
7 Stem Bounce(s)
6 Unavailable",Dangerous,"(08/31/1987) (Bad is released)
(11/26/1991) (Dangerous is released)",,,"Dangerous was the first album released under the umbrella of Epic's new owners Sony Music, with a deal having been inked earlier that year. Though nine singles were released, the child molestation allegations of 1993 put a stop to the release of a planned tenth single. Over 70-75 songs were made for the album, which were eventually whittled down to 20 and later 14 tracks.",,,,
,Sessions,,,,,,,,
Dangerous,"Jam
(feat. Heavy D) (prod. Michael Jackson, Teddy Riley & Bruce Swedien)
(Time Marches On)","OG Filename: Jam - Aud Vibb Stems
Brad Sundberg Audacity project with the Brian Vibberts stems imported. That's literally it. There's nothing more to it.","Nov 15, 2019","Jan 28, 2023",,N/A,OG File,Lossless,https://pillows.su/f/795791248084268e5144016728335fe1
Dangerous,"Black Or White
(feat. L.T.B. (Bill Bottrell)) (prod. Michael Jackson & Bill Bottrell)","OG Filename: Black or White - Aud Vibb Stems
Brad Sundberg Audacity project with the Brian Vibberts stems imported. That's literally it. There's nothing more to it. Missing the project file itself, so it's even more useless than it already was.",,"Jan 28, 2023",,N/A,Partial,Lossless,https://pillows.su/f/156f2437aba718551dbf2bb085f9ad40
,Multitracks / Stems,,,,,,,,
Dangerous,"Black Or White
(feat. L.T.B. (Bill Bottrell)) (prod. Michael Jackson & Bill Bottrell)","Time-stretched tracks for This Is It, including Michael Prince click and count-in. Same set used to make the submixed pack.",,,,23,Partial,Lossless,https://pillows.su/f/6ea057a30c75926f912cad53b190eec1
Dangerous,"Black Or White
(feat. L.T.B. (Bill Bottrell)) (prod. Michael Jackson & Bill Bottrell)","Submixed pack made from time-stretched tracks for This Is It, mixed by Brian Vibberts in late 2016. It's actually horrible.","Dec 21, 2016","Jan 28, 2023",,10,OG File,Lossless,https://pillows.su/f/b29796d86730fc77d6f02c9939de9b7f
Dangerous,"Can't Let Her Get Away (Drum Beats)
(prod. Michael Jackson & Teddy Riley)",Taken from a Future Records CD-R previously owned by Teddy Riley and auctioned on eBay in late 2007. Likely refers to a pack of drum samples or loops used for the track.,,,,6,Confirmed,Not Available,https://web.archive.org/web/20090212140743/http://www.mjcollectorland.com/rileyacetate.htm
Dangerous,"Heal The World
(prod. Michael Jackson & Bruce Swedien)
(Feed The World)",Missing some tracks. Lead vocals are taken from the 5.1 surround mix.,,,,31,Partial,Lossless,https://pillows.su/f/08d00200f74d6a619c89fa61d747e7f4
Dangerous,"Heal The World
(prod. Michael Jackson & Bruce Swedien)
(Feed The World)","OG Filename: MJ Heal The World DrVibb Mix Stems for Brad 48kHz 24 bit
Submixed pack mixed by Brian Vibberts for Brad Sundberg.","Mar 5, 2019","Jan 28, 2023",,11,OG File,Lossless,https://pillows.su/f/7ce86136229f227c5feb5a82485cf762
Dangerous,"In The Closet (Club Mix)
(prod. Tommy Musto)",Some tracks fall out of sync.,,,7:24,30,Full,Lossless,https://pillows.su/f/44c809879441df72c54207ae538e31a0
Dangerous,"Jam
(feat. Heavy D) (prod. Michael Jackson, Teddy Riley & Bruce Swedien)
(Time Marches On)","Submixed pack mixed by Brian Vibberts in late 2016. Missing some parts of the track, however the pack is complete.","Dec 21, 2016",,,11,OG File,Lossless,https://pillows.su/f/9e4c21860fd71db1b7f8138427f123be
Dangerous,"Who Is It
(prod. Michael Jackson & Bill Bottrell)",,,,,,Rumored,Not Available,
Dangerous,"Why You Wanna Trip? (Paul Jackson's Guitar Samples) [#7]
(Trip, Why You Wanna Trip On Me)","Taken from a Future Records CD-R previously owned by Teddy Riley and auctioned on eBay in late 2007. Contains 30 guitar solos for the song. One track was posted on Instagram on August 29th, 2021.",,"Aug 29, 2021",,30,Snippet,High Quality,https://pillows.su/f/6a8786ed9b51fac6b0a5a07632344a6b
,Acapellas,,,,,,,,
Dangerous,"Dangerous
(Dangerous II)",,,,6:00,,Stem Bounce,CD Quality,
Dangerous,"In The Closet
(feat. Mystery Girl (Princess Stéphanie of Monaco))
(Closet)",,,,7:00,,Stem Bounce,CD Quality,"https://pillows.su/f/2b8da9490150e022121ad5685cf6fbdb
https://pillows.su/f/8f57a2540c507ca2a32748af4d2b6d3a "
Dangerous,"Remember The Time (7"" Main Mix)","Official acapella for the 7"" main mix of Remember The Time. Lacks a lot of the Teddy Riley vocoder and is shorter.",,,3:37,,Full,Lossless,https://pillows.su/f/540f807b570402557b98d45c5a240610
Dangerous,Remember The Time (M.J. Runs) [#34],"Appears on a Future Records CD-R previously owned by Teddy Riley and auctioned on eBay in 2008. Presumably the full acapella for the track, although this is unconfirmed. Described as having ""8 tracks representing all the acapella vocals of the song.""",,,,,Confirmed,Not Available,https://web.archive.org/web/20090212140743/http://www.mjcollectorland.com/rileyacetate.htm
Dangerous,Remember The Time (Vocal Runs) [#3],"Ditto. Excerpt of Michael's lead vocal near the end of the track, same take as release.",,,,,Full,High Quality,
Dangerous,Remember The Time (Vocal Runs) [#6],"Ditto. Teddy Riley vocoder, parts of this are used in certain remixes of the song.",,,,,Full,High Quality,
,Instrumentals,,,,,,,,
Dangerous,"Black Or White (Single Mix)
(prod. Michael Jackson & Bill Bottrell)",Official instrumental for the single mix of Black Or White.,,,3:22,,Full,Lossless,https://pillows.su/f/fd03af378bf42c0ef729fe19bf5e22e0
Dangerous,"Bubbles
(prod. Bryan Loren)","Features an entire musical bed of ""industrial sounds."" Sourced from an April 19th, 1990 DAT. Low quality file tagged with monkey noises leaked on December 9th, 2025. A better-quality copy was leaked as an edited seminar recording on January 9th, 2026 by John Cameron via his YouTube channel.","Apr 19, 1990","Jan 9, 2026",1:34,,Tagged,Low Quality,"https://pillows.su/f/08c6a660f05a4fa8f3a6274d691c1f2b
https://pillows.su/f/6913530b48d192b8291d64878aa4784e "
Dangerous,"Dangerous
(prod. Michael Jackson & Teddy Riley)
(Dangerous II)",,,,6:53,,Stem Bounce,CD Quality,
Dangerous,"Garbage
(prod. Bryan Loren)","Sourced from an April 19th, 1990 DAT. Supposedly inspired ""Can't Let Her Get Away"" and some of the other hard-hitting New Jack Swing tracks produced by Teddy Riley. Consists of car tyre screeches, low quality hits, and glass break snares. 

Snippet with voiceover leaked in a video made by Znop for the verb channel on October 23rd, 2025. Partially leaked on November 1st, 2025. Full song leaked in LQ on January 4th, 2026. Lossless file leaked later that day. You really can hear the garbage in this beat.","Apr 19, 1990","Jan 4, 2026",9:02,,Full,Lossless,https://pillows.su/f/52ed8ab66f675be38db7cef4653bad05
Dangerous,"Give In To Me
(prod. Michael Jackson & Bill Bottrell)","Official instrumental for Give In To Me, sourced from a 1993 promo CD. Different mix compared to the album version, the track fades out early except for the guitar.",,,5:26,,Full,Lossless,https://pillows.su/f/11d8db8f0a042abc22b51d55630d5f8c
Dangerous,"Gone Too Soon
(prod. Michael Jackson & Bruce Swedien)",Official instrumental for Gone Too Soon.,,,3:23,,Full,Lossless,https://pillows.su/f/43e9d26005a8a8656cc6f238d85bfab0
