Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Final sessions,Ghost Of Another Lover [V5],"OG Mix Name: Mix 4 No Intro
Appears on a CD dated April 29th, 2009 which was found on a court document investigating LaToya's boyfriend, who was accused of stealing items owned by Michael upon his death. In total there are 7 different mixes, likely none of which are vocally complete.",,"Apr 29, 2009",,Confirmed,Not Available,
Final sessions,Ghost Of Another Lover [V6],"Confirmed to exist by the existence of ""Mix 4"" and ""Mix 7.""",,,,Confirmed,Not Available,
Final sessions,Ghost Of Another Lover [V7],"Confirmed to exist by the existence of ""Mix 4"" and ""Mix 7.""",,,,Confirmed,Not Available,
Final sessions,🏅 Ghost Of Another Lover [V8],"OG Mix Name: Mix 7 W/Intro
Appears on a CD dated April 29th, 2009.",,"Apr 29, 2009",,Confirmed,Not Available,
Final sessions,"Give Me Your Love
(prod. RedOne)","Another track produced by RedOne, this song's existence was alluded to in a FlavourMag interview with writer Livvi Franc. At that point, the track had been left half-recorded, as Michael was busy travelling at the time and never got back to it by the time he died.",,,,Confirmed,Not Available,
Final sessions,"Green Hornet Groove
(prod. Brad Buxer)",Instrumental groove produced by Brad Buxer for the 2011 film The Green Hornet.,,,,Confirmed,Not Available,
Final sessions,He Who Makes The Sky Gray,Recorded for the Bahrain-based Two Seas Records; may have vocals from Michael.,,,,Confirmed,Not Available,
Final sessions,Heaven With A Smile,"A CD dated April 17th, 2009 was found on a court document investigating LaToya's boyfriend, who was accused of stealing items owned by Michael upon his death.",,"Apr 17, 2009",,Confirmed,Not Available,
Final sessions,I Am That One,Found on a note denoting what songs Michael considered working on before his death.,,,,Confirmed,Not Available,
Final sessions,"I Have This Dream [V4]
(ref. Michael Jackson)",A solo demo featuring Michael by himself.,,,,Confirmed,Not Available,
Final sessions,"I Have This Dream [V5] 
(with Ciara, James Ingram, R. Kelly, Jermaine Jackson, Shanice, Keyshia Cole, The O'Jays, Shirley Caesar & Snoop Dogg)",All-star version recorded between November and December 2005 to bring relief to the victims of Hurricane Katrina.,,2005,,Confirmed,Not Available,
Final sessions,I Love You,Michael's version of a Taryll Jackson song that was originally recorded for an unissued 3T album in the late 1990s. State of completion unknown.,,,,Confirmed,Not Available,
Final sessions,"I Will Miss You
(prod. Michael Jackson & will.i.am)","Co-produced by will.i.am; tribute song for James Brown, who passed away in 2006. Existence confirmed in a 2010 interview.",,,,Confirmed,Not Available,
Final sessions,"🏅 I'm Dreamin'
(prod. Michael Jackson & will.i.am)
(Dreaming)","Co-produced by will.i.am; existence confirmed in a 2010 interview. Interpolates the chorus and bassline from KRS-One's ""I Can't Wake Up (I'm A Blunt),"" according to will.i.am in a 2023 interview. Chorus lyrics include: ""I'm dreamin' about being in love / I'm walkin' around and I cannot wake up"". Attempted to be released on Will's 2013 album #willpower but was prevented by the estate.",,,,Confirmed,Not Available,
Final sessions,"Is She Coming Back
(prod. Dr. Freeze)",Found on a note denoting what songs Michael considered working on before his death. Likely never recorded by Michael.,,,,Confirmed,Not Available,
Final sessions,King Tutankhamun,Instrumental track. Registered at the Library of Congress.,,2008,,Confirmed,Not Available,
Final sessions,"Lady Of Summer
(prod. Michael Jackson & Theron ""Neff-U"" Feemster)","An orchestral piece created for an intended classical album; lacks any vocals by Michael. Found on a note denoting what songs Michael considered working on before his death. Registered at the Library of Congress. According to Damien Shields, the song was shown to classical composer David Michael Frank shortly before Michael's death.",,,,Confirmed,Not Available,
Final sessions,Leaving Today To Benin,Found on a note denoting what songs Michael considered working on before his death.,,,,Confirmed,Not Available,
Final sessions,"Love Heals
(prod. Michael Jackson & Theron ""Neff-U"" Feemster)","A CD was found on a court document investigating LaToya's boyfriend, who was accused of stealing items owned by Michael upon his death. ""MJ Nephew"" is written on the disc, suggesting that the track was produced by Michael and Neff-U.",,,,Confirmed,Not Available,
Final sessions,"Neverland Landing [V3]
(prod. Brad Buxer)",Since the song was registered at the Library of Congress alongside other tracks being worked on in the 2000's with Brad Buxer and Michael Prince it is possible that the song had additonal work done in that time period.,,,,Rumored,Not Available,
Final sessions,"New Dance
(prod. Theron ""Neff-U"" Feemster)","A CD was found on a court document investigating LaToya's boyfriend, who was accused of stealing items owned by Michael upon his death",,,,Confirmed,Not Available,
Final sessions,"Red Eye
(prod. Michael Jackson & Theron ""Neff-U"" Feemster)","A guitar track with a Chinese influence; registered into the Library of Congress. Has no vocals. Found on a note denoting what songs Michael considered working on before his death. Title named by Michael in a 1993 deposition, although it's unknown whether he was referring to the same song.",,,,Confirmed,Not Available,
Final sessions,Rock Tonight,"Instrumental track; has no relation to the earlier-recorded ""Rocker."" Found on a note denoting what songs Michael considered working on before his death.",,,,Confirmed,Not Available,
