Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Owl Pharaoh,"Drive [Demo 2]
(feat. James Fauntleroy) 
[prod. Kanye West, No I.D., Travis Scott & Ann Marie Calhoun]",Early version that seems to feature some minor production differences.,,,,Snippet - LQ,,Pillowcase
Owl Pharaoh,"Drive [Demo 3]
(feat. James Fauntleroy) 
[prod. Kanye West, No I.D., Travis Scott & Ann Marie Calhoun]","Appears on the May 2013 tracklist. 5:17, 3 seconds longer than release. ",5:17,,,N/A,,
Owl Pharaoh,"Dust [V1]
[prod. MIKE DEAN & Travis Scott]","The ""Dust"" that leaked is known as ""Dust 2.0"", so an earlier version must exist, possibly from before Travis met Mike Dean.",,,,N/A,,
Owl Pharaoh,"⭐ Dust [V2]
[prod. MIKE DEAN & Travis Scott]","Leaked by Fitz on KTT on June 1, 2013 after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx; Travis repeatedly teased its release around August 2012 and beyond. Can be seen on the August 2012 tracklist, and Travis teased a music video through now-deleted Facebook and Tumblr posts.",4:21,,"Jun 1, 2013",Full - HQ,,KrakenFiles
Owl Pharaoh,Empire,"A song referenced by Pharaohxx as being intended for 'Owl Pharaoh' at some stage. Pharaohxx listed it as a song where Travis displays his rapping ability, alongside ""MIA"", ""Bandz"", and ""Bad Mood"".",,,,N/A,,
Owl Pharaoh,"Fall
[prod. Travis Scott]","OG Filename [?]: Fall ( prod Travis Scott)
Song seen in a screenshot posted to Will & Rich's Tumblr. Unsure when it was posted, but KTT users discovered it in April 2013. Possibly intended for 'Owl Pharaoh' at some point judging by the cover art.",,,,N/A,,
Owl Pharaoh,"Fear
[prod. Travis Scott]","According to L$ and a tweet from Travis in September 2011, this song was to feature on a very early version of 'Owl Pharaoh'. An instrumental supposedly produced by Travis leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman. L$ stated that Travis called this song his favourite.",,,,Instrumental - HQ,,KrakenFiles
Owl Pharaoh,"Floating
[prod. Travis Scott]","Instrumental supposedly produced by Travis that leaked on July 19, 2013, after being acquired from Tony Loney by KTT users Carlos and xxman. Strangely, this song does not feature on any of the known early tracklists for 'Owl Pharaoh', so it may have been renamed or quickly scrapped.",,,,Instrumental - HQ,,KrakenFiles
Owl Pharaoh,"Gifted
[prod. Travis Scott]","Supposedly produced by Travis, the instrumental was leaked by Fitz on KTT June 1, 2013, after he was sold a pack of early 'Owl Pharaoh' tracks by Pharaohxx. No vocals have surfaced, if they were ever recorded.",,,,Instrumental - HQ,,Pillowcase
Owl Pharaoh,"God Level [Remaster]
[prod. WondaGurl]","Posted on KTT by user YoungxSho on the same day that the song dropped; contains a new, real intro, and some extra effects and reverb not found on the released version. YoungxSho noted in several KTT posts that he was a friend of Travis and had leaked a couple other things in the past, so it's possibly just a leak that he wanted some clout for; he claimed to have made it, but he would've needed access to the stems for it so it's likely legitimate. Travis himself tweeted that he was going to re-release the song after being unhappy with the mix that made the XXL Freshman tape, but he never did - this could be the version that he wanted to drop.",2:30,,"May 1, 2013",Full - HQ,,KrakenFiles
