Era,Name,Notes,Art Type,Image,Project Type,Use,Link(s)
Special Herbs,"Special Herbs, Vols. 3 & 4 [Alternate 2]",,Digital,,Front Cover,Alternate,https://dump.li/image/get/e5609a8e6d63dd0f.jpeg
Special Herbs,"Special Herbs, Vols. 3 & 4 [Alternate 2] [Back]",,Scan,,Back Cover,Alternate,https://dump.li/image/get/29a90d56e94a0ab3.jpeg
Special Herbs,"Special Herbs 4,5,6",,Scan,,Front Cover,Used,https://dump.li/image/get/c1b16b2cb4116714.jpeg
Special Herbs,"Special Herbs 4,5,6 [Back]",,Scan,,Back Cover,Used,https://dump.li/image/get/730a62be1ea5866d.jpeg
Special Herbs,"Special Herbs 4,5,6 [Alternate]",,Scan,,Front Cover,Alternate,https://dump.li/image/get/ca92519dda348ae8.jpeg
Special Herbs,Special Herbs Vol. 5 & 6,,Digital,,Front Cover,Used,https://i.ibb.co/6FJFhb7/36769.jpg
Special Herbs,Special Herbs Vol. 5 & 6 [Back],,Scan,,Back Cover,Used,https://i.ibb.co/Jp2qmcM/R-353901-1223121857.jpg
Special Herbs,Special Herbs Vol. 5 & 6 [Alternate],,Scan,,Front Cover,Alternate,https://i.ibb.co/Dk4PSfB/Ny0z-Nz-Qy-Lmpw-ZWc.jpg
Special Herbs,Special Herbs Vol. 5 & 6 [Alternate 2],,Scan,,Front Cover,Alternate,https://i.ibb.co/Y76kQ9q/R-16742868-1610737744-2034.jpg
Special Herbs,Special Herbs Vol. 5 & 6 [Alternate 2] [Back],,Scan,,Back Cover,Alternate,https://i.ibb.co/rKhKBCT/R-16742868-1647896922-1173.jpg
Special Herbs,Special Herbs Vol. 7 & 8,,Digital,,Front Cover,Used,https://i.ibb.co/bmgf38t/R-347514-1185491920.jpg
Special Herbs,Special Herbs Vol. 7 & 8 [Back],,Photo,,Back Cover,Used,https://i.ibb.co/jrSSNGN/R-347514-1223122650.jpg
Special Herbs,Special Herbs Vol. 7 & 8 [Alternate],,Digital,,Front Cover,Alternate,https://i.ibb.co/TWddT9Z/36767.jpg
Special Herbs,Special Herbs Vol. 7 & 8 [Alternate] [Back],,Scan,,Back Cover,Alternate,https://i.ibb.co/sp44cky/R-9233093-1477090079-9544.jpg
Special Herbs,Special Herbs Vol. 7 & 8 [Alternate 2],IF ANYONE HAS A SCAN PLEASE LET ME KNOW,Photo,,Front Cover,Alternate,https://i.ibb.co/0Dvv6FJ/Screen-Shot2021-06-03at5-07-54-PM-1080x.webp
Special Herbs,Special Herbs Vol. 7 & 8 [Alternate 2] [Back],IF ANYONE HAS A SCAN PLEASE LET ME KNOW,Photo,,Back Cover,Alternate,https://i.ibb.co/R4ckPJr/R-17022486-1624725193-7014.jpg
Special Herbs,Special Herbs Vol. 9 & 0,,Digital,,Front Cover,Used,https://dump.li/image/get/e96b5ce3f99fa096.jpeg
Special Herbs,Special Herbs Vol. 9 & 0 [Back],,Photo,,Back Cover,Used,https://dump.li/image/get/df2658a7f3d217c2.jpeg
Special Herbs,Special Herbs Vol. 9 & 0 [Alternate],,Digital,,Front Cover,Alternate,https://i.ibb.co/L83q2WT/R-6649198-1423844802-4163.jpg
Special Herbs,Special Herbs Vol. 9 & 0 [Alternate] [Back],,Scan,,Back Cover,Alternate,https://i.ibb.co/MCcFgk3/R-6649198-1426618693-7427.jpg
Special Herbs,Special Herbs Vol. 9 & 0 [Alternate 2],,Scan,,Front Cover,Alternate,https://i.ibb.co/SmWT4fN/Annotation2020-08-18091049-1080x.webp
Special Herbs,Special Herbs Vol. 9 & 0 [Alternate 2] [Back],,Scan,,Back Cover,Alternate,https://i.ibb.co/jRHtWv8/R-14692329-1638310728-2680.jpg
Special Herbs,MetalFingers Presents Special Herbs The Box Set Vol.0-9,,Digital,,Front Cover,Used,https://dump.li/image/get/a0cf75a70857ebdd.jpeg
Special Herbs,MetalFingers Presents Special Herbs The Box Set Vol.0-9 [Back],,Scan,,Back Cover,Used,https://dump.li/image/get/146893144558a1d0.jpeg
Special Herbs,Special Blends Vol. 1,,Scan,,Front Cover,Used,https://i.ibb.co/Bfgkd5b/R-701406-1151224248.jpg
Special Herbs,Special Blends Vol. 1 [Back],,Scan,,Front Cover,Used,https://i.ibb.co/GkCBLF2/R-701406-1151224263.jpg
Special Herbs,Special Blends Vol. 2,,Scan,,Front Cover,Used,https://i.ibb.co/LS91jBG/R-701410-1151223442.jpg
Special Herbs,Special Blends 1+2,,Scan,,Front Cover,Used,https://i.ibb.co/mXjyY8y/R-702425-1388547286-1420.jpg
Special Herbs,Special Blends 1+2 [Back],,Scan,,Back Cover,Used,https://i.ibb.co/XFJstYy/R-702425-1388547311-1937.jpg
Special Herbs,Special Blends 1+2 (Burlap Sack Re-Issue),,Photo,,Physical Packaging,Used,https://i.ibb.co/fSsMP3q/R-8650391-1465920772-9626.jpg
Special Herbs,Special Blends 1+2 (N°S Re-Issue),,Scan,,Front Cover,Used,https://i.ibb.co/GVQtMfX/R-8651908-1466093047-7450.jpg
Special Herbs,Special Blends 1+2 (N°S Re-Issue) [Back],,Scan,,Back Cover,Used,https://i.ibb.co/0q6xqM4/R-8651908-1466093093-6743.jpg
