Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
Punk [V1],"Insure My Wrist
(with Gunna) (prod. Taurus, DecayOnTheBeat & ProdByAlec)","Track 10 on ""Punk"". Mastered by Joe LaPorta.",2:48,"Oct 15, 2021",Album Track,Yes,https://open.spotify.com/track/26PSkNzsEBx1BRRB4vY4n5?si=aa9a36208d984338
Punk [V1],"Scoliosis
(with Lil Double 0) (prod. Kutta Beatz, Taurus & Nuki)","Track 11 on ""Punk"". Mastered by Joe LaPorta.",2:50,"Oct 15, 2021",Album Track,Yes,https://open.spotify.com/track/5vkrDTKB9xWraHlj0EY1pf?si=6959528ac9e64ce7
Punk [V1],"Bubbly
(with Drake & Travis Scott) (prod. Wheezy, Cardo Got Wings, Yung Exclusive, Johnny Juliano, Dez Wright & Mu Lean)","Track 12 on ""Punk"". Mastered by Joe LaPorta.",2:45,"Oct 15, 2021",Album Track,Yes,https://open.spotify.com/track/4KDNRh9Oor80z3XIxdWlui?si=dca4193ad6424efe
Punk [V1],"Road Rage
(prod. Taurus & Prodbysmo)","Track 13 on ""Punk"". Mastered by Joe LaPorta.",2:32,"Oct 15, 2021",Album Track,Yes,https://open.spotify.com/track/4rMRWTyCqdXz4UD5RFGJoG?si=09edbeee72a245f0
Punk [V1],"Faces
(prod. Wheezy, Lee Major, Sean Momberger & KrishnaMusic)","Track 14 on ""Punk"". Mastered by Joe LaPorta.",2:12,"Oct 15, 2021",Album Track,Yes,https://open.spotify.com/track/29GvhwlStyNr9BQTX4M9qx?si=f4e77217136945b1
Punk [V1],"Droppin Jewels
(prod. Turbo, Pro Logic, Ghetto Guitar & K-Notes)","Track 15 on ""Punk"". Mastered by Joe LaPorta.",3:38,"Oct 15, 2021",Album Track,Yes,https://open.spotify.com/track/3q8Uyfo98yoEqByamJOIkJ?si=1959698343244a23
Punk [V1],"Fifth Day Dead
(prod. Andrew Watt & Louis Bell)","Track 16 on ""Punk"". Mastered by Joe LaPorta.",2:30,"Oct 15, 2021",Album Track,Yes,https://open.spotify.com/track/5314IYHnvVMlWPpxolaOFu?si=0a622df9175b4eec
Punk [V1],"Icy Hot
(with Doja Cat) (prod. Wheezy)","Track 17 on ""Punk"". Mastered by Joe LaPorta.",3:36,"Oct 15, 2021",Album Track,Yes,https://open.spotify.com/track/3hluYfU25k6suH9WpaRsFm?si=c309bccac4284065
Punk [V1],"Love You More
(with Nate Ruess, Gunna & Jeff Bhasker) (prod. Metro Boomin, Jeff Bhasker & Nate Reuss)","Track 18 on ""Punk"". Mastered by Joe LaPorta.",3:41,"Oct 15, 2021",Album Track,Yes,https://open.spotify.com/track/4pUxYUHVKXWsgGhEhOu7R9?si=ef91618817844e62
Punk [V1],"Hate The Game
(prod. Andrew Watt & Louis Bell)","Track 19 on ""Punk"". Mastered by Joe LaPorta.",2:44,"Oct 15, 2021",Album Track,Yes,https://open.spotify.com/track/7xfueRdAGnr8pKEIhkGcc8?si=568c5431880f4a86
