Era,Name,"Notes
(Join the Discord to help fix any issues + help with dead links)",Full Length,Leak Date,"File
Date",Quality,Available Length,Link(s)
Die Lit,"Chief Keef - Uh Uh
(feat. Playboi Carti) (prod. Honoroable C.N.O.T.E.)",Carti recording his ad-libs for Uh Uh posted by Chief Keef's on his Instagram story.,,"Jan 5, 2018",,Acapella,Snippet,https://music.froste.lol/song/7adc5380eab17d8ee6c683372bf36fb6
Die Lit,"NAV - Minute [V1] [Vocal Stems]
(feat. Playboi Carti & Offset) (prod. Pi'erre Bourne)","Vocal stems for Carti's original verse on ""Minute"" that were used in fake edits.",,N/A,,Session,Yes,"https://pillows.su/f/3e20992c97ea7f9e44ed9f25d54a2771
https://pillows.su/f/225cd0c3321976fab64cdb771d248fb5"
Die Lit,"Pi'erre Bourne - Yo Pi'erre [Stems]
(feat. Playboi Carti) (prod. Pi'erre Bourne)","Leaked on June 24, 2022.",,"Jun 24, 2022",,Two Track,Yes,https://pillows.su/f/2e90d577341fd8635edcc49b72e8cf6c https://pillows.su/f/92120ce9b3b35ab832ee892dcfa2d26d 
,Samples,,,,,,,
Die Lit,"Lit [Sample Loop]
(prod. CuBeatz)","The original melody used to create ""Lit"".",,"Jul 12, 2022",,Other,Yes,https://pillows.su/f/2da1b2daaa157df1baf0e886cae1aabb
Die Lit,Shawty In Love [Sample Loop],"The original melody used to create ""Shawty In Love"".",,N/A,,Other,Yes,https://pillows.su/f/6145cfe049c2fea12174b9702d43de8d
Die Lit,"R.I.P [Sample]
(prod. Pi'erre Bourne)","Samples ""What About Us"" by Jodeci.",,N/A,,Sample,Yes,https://youtu.be/tJeR3JJBxUg?si=N7P1CqHsLGWe9--A
,Other,,,,,,,
Die Lit,"Ripley's [Acapella]
(prod. Pi'erre Bourne)
(Ripley's, C Notes)","Acapella for ""Ripley's""",,N/A,,Acapella,Yes,http://music.froste.lol/song/9ae2139740df6b975320b9bea0e4372a/play
Die Lit,"Fell In Luv [V6] [Acapella]
(prod. Pi'erre Bourne)","Leaked randomly on Dec 15, 2025",,"Dec 15, 2025",,Acapella,Yes,http://music.froste.lol/song/f21aebf37f4d8f284662fc18fe8992fb/play
Die Lit,Work [Acapella],"Leaked by Ciggy on Sep 13, 2025.",,"Sep 13, 2025",,Acapella,Yes,https://pillows.su/f/e3cbe8279ab068c9c92e04a9b7edabeb
Die Lit,"A$AP Ferg - Mad Man [Acapella]
(feat. Playboi Carti)","Acapella for the released song ""Mad Man""",,N/A,,Acapella,Yes,https://krakenfiles.com/view/8bTqO23xzg/file.html
,"Whole Lotta Red [V1]
(Die Lit 2)",,,,,,,
,Instrumentals,,,,,,,
Whole Lotta Red [V1],"???
(prod. Pi'erre Bourne)
(Surf)","A 2 second snippet had surfaced of Carti and the Surf beat by Young Thug. Sometime later, on April 4, 2024, a longer 9 second video surfaced. This probably means Carti has recorded over this beat.",,"Apr 4, 2024",,Instrumental,Snippet,"https://www.youtube.com/watch?v=kLr1omtChm4&ab_channel=Dipyo5 

https://music.froste.lol/song/b53de8fc2742b9569d14771ee906188b/play"
