Era,Art,Name,Description,Creator,Review,Downloads,Streaming
So Help Me God,,So Help Me God: Angels,"Community comp consisting of various LP7 songs, with several reproduced elements to make them sound as high quality as possible and some track overhauls sprinkled here and there. Notably broke the old dark reputation the SHMG era had by delivering a more accurate reimagining of the project.",Magik & Co.,"Review - wyomingfr
Review - the.g4mbik",MEGA,"Yedits.net
[untitled]"
So Help Me God,,So Help Me God,"SHMG rework heavily inspired by pxblo's comp, modernizing and expanding on the concepts of its inspiration. Contains an amazing All Your Fault and a beautiful I Feel Like That. Released with a scrapped SWISH comp.",themusicnerdguy,Review - Berais,MEGA,YouTube
So Help Me God,,So Help Me God,"SHMG take focused more on the dark, grimey sonics. Covers LP7 in general like Angels, but is also more updated and grounded in its editing style.",ambitousgoat23,Review - noahthakid9,MEGA,[untitled]
,Vanilla-style,,,,,,
So Help Me God,,"So Help Me God
V3","Comp consisting of various LP7 leaks fitting the SHMG era, all remastered and touched up to be as high quality and complete as possible, while still sounding super close to the source material. Currently outdated.","SimpleJosh
(a.k.a. Close Salami)",,MEGA,
So Help Me God,,So Help Me God,"SHMG take that emulates the feel of a classic and simple comp from 2021, putting aside most new info to make a very well-rounded LP7 experience.",Matsu,,"MEGA
Google Drive",
,Honorable Mentions,,,,,,
So Help Me God,,"So Help Me God
Remastered","Collection of remastered LP7 leaks and edits with an emphasis on a more positive and upbringing sound, inspired by the gospel aspect of TLOP.",u/fosterlynch,,MEGA,
"3 Renovations
2 Vanilla-style
2 HMs",,SWISH,,"Highlights:
⭐WAVES - Solidus Jack",,,
,Renovations,,,,,,
SWISH,,⭐WAVES,Rework of SWISH material with new production that incorporates the leaks and provides alternative takes on its TLOP counterpart where applicable. Contains an amazing Forever edit.,Solidus Jack,Review - TMNG,MEGA,"Yedits.net
[untitled]"
SWISH,,"SWISH
(poofartpoo Edition)",Classic SWISH rework with added synths and production to give some TLOP songs a more electronic feel. Home to the strange Africa 30 Hours edit.,poofartpoo,,MEGA,[untitled]
SWISH,,SWISH,Early SWISH rework with edits of leaks and non-album releases. Not exactly an accurate envisioning of the era but a good alt TLOP experience.,Rose,,"MEGA
Google Drive",
,Vanilla-style,,,,,,
SWISH,,SWISH,"Polished take of 14 SWISH tracks with new drums, elements from various leaks, changed structures and improvements on mixing.",Akimbo,Review - Days Dissolve,"MEGA
Google Drive",Yedits.net
SWISH,,"✨YEFFERY
(with Young Thug)","Simple LP7 comp imagining the era as a collab between Kanye and Thug, featuring official songs between them and other songs with added verses.","HEAT DEATH
(a.k.a. The Biggest Stepper & ezpz)",,,[untitled]
,Honorable Mentions,,,,,,
