Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
WU-TANG FOREVER,"Little Ghetto Boys
(perf. Raekwon, Cappadonna) (prod. RZA)",Track 4 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"Deadly Melody
(perf. Masta Killa, U-God, RZA, Method Man, Ghostface Killah) (feat. Streetlife) (prod. RZA)",Track 5 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"The City
(perf. Inspectah Deck) (prod. 4th Disciple)",Track 6 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"The Projects
(perf. Raekwon, Method Man, Ghostface Killah, U-God) (prod. RZA)",Track 7 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"Bells of War
(perf. U-God, Method Man, RZA, Ghostface Killah) (prod. RZA)",Track 8 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"The M.G.M.
(perf. Ghostface Killah, Raekwon) (prod. True Master)",Track 9 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"Dog Shit
(perf. Ol' Dirty Bastard) (prod. RZA)",Track 10 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"Duck Seazon
(perf. Raekwon, RZA, Method Man) (prod. RZA)",Track 11 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"Hellz Wind Staff
(perf. Ghostface Killah, Inspectah Deck, Method Man, RZA, Raekwon) (feat. Streetlife) (prod. RZA)",Track 12 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"Heaterz
(perf. Raekwon, Inspectah Deck, Ol' Dirty Bastard, U-God, Cappadonna) (prod. True Master)",Track 13 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"Black Shampoo
(perf. U-God) (prod. RZA)",Track 14 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"Second Coming
(feat. Tekitha) (prod. RZA)",Track 15 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"The Closing
(perf. Raekwon) (prod. RZA)",Track 16 on Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Album Track,Yes,
WU-TANG FOREVER,"Sunshower
(perf. RZA) (prod. RZA)",Track 17 on the international release of Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Other,No,
WU-TANG FOREVER,"Projects (International Remix)
(perf. Raekwon, Method Man, Ghostface Killah, U-God) (prod. RZA)",Track 18 on the international release of Wu-Tang Forever (Disc 2).,,"Jun 3, 1997",Other,No,
Wu-Tang Clan,THE W,"(November 21, 2000) (""The W"" is released)",,,Other,Extra info,
THE W,"Intro (Shaolin Finger Jab) / Chamber Music
(perf. Raekwon, GZA, Method Man, Masta Killa) (prod. RZA)",Track 1 on The W.,,"Nov 21, 2000",Album Track,Yes,
THE W,"Careful (Click, Click)
(perf. RZA, U-God, Masta Killa, Cappadonna, Ghostface Killah, Inspectah Deck) (prod. RZA)","Track 2 on The W.
Later released as a single on July 17, 2001.",,"Nov 21, 2000",Other,Yes,
THE W,"Hollow Bones
(perf. Raekwon, Inspectah Deck, Ghostface Killah) (prod. RZA)",Track 3 on The W.,,"Nov 21, 2000",Album Track,Yes,
THE W,"Redbull
(perf. Method Man, Inspectah Deck) (feat. Redman) (prod. RZA)",Track 4 on The W.,,"Nov 21, 2000",Album Track,Yes,
THE W,"One Blood Under W
(perf. Masta Killa) (feat. Junior Reid) (prod. RZA)","Track 5 on The W.
Later released as a promotional single sometime in 2001.",,"Nov 21, 2000",Other,Yes,
THE W,"Conditioner
(perf. Ol' Dirty Bastard, GZA, Inspectah Deck)
(feat. Snoop Dogg) (prod. RZA)",Track 6 on The W.,,"Nov 21, 2000",Album Track,Yes,
THE W,"⭐ Protect Ya Neck (The Jump Off) [V1]
(perf. Inspectah Deck, Raekwon, Method Man, Masta Killa, RZA, Ghostface Killah, U-God, Cappadonna, GZA) (prod. RZA)","Released as a single on October 17, 2000. Lacks the beatswitch from the album version. The clean single version of the track however is on streaming without the beatswitch.",,"Oct 17, 2000",Other,No,
THE W,"Protect Ya Neck (The Jump Off) [V2]
(perf. Inspectah Deck, Raekwon, Method Man, Masta Killa, RZA, Ghostface Killah, U-God, Cappadonna, GZA) (prod. RZA)",Track 7 on The W.,,"Nov 21, 2000",Album Track,Yes,
THE W,"Let My Niggas Live 
(perf. Raekwon, Inspectah Deck) (feat. Nas)
(prod. RZA)",Track 8 on The W.,,"Nov 21, 2000",Album Track,Yes,
THE W,"I Can't Go To Sleep
(perf. Ghostface Killah, RZA) (feat. Isaac Hayes) (prod. RZA)","Track 9 on The W.
Later released as a single sometime in 2001.",,"Nov 21, 2000",Other,Yes,
THE W,"Do You Really (Thang, Thang)
(perf. Method Man, Masta Killa, Inspectah Deck) (feat. Streetlife) (prod. Mathematics)","Track 10 on The W.
Later released as a promotional single in 2001.",,"Nov 21, 2000",Other,Yes,
THE W,"The Monument
(perf. Raekwon, GZA) (feat. Busta Rhymes)
(prod. RZA)",Track 11 on The W.,,"Nov 21, 2000",Album Track,Yes,
THE W,"⭐ Gravel Pit
(perf. Method Man, Ghostface Killah, Raekwon, U-God) (feat. Paulissa Moorman) (prod. RZA)","Track 12 on The W.
Later released as a single on December 5, 2000.",,"Nov 21, 2000",Other,Yes,
THE W,"Jah World
(perf. Ghostface Killah, RZA) (feat. Junior Reid) (prod. RZA)",Track 13 on The W.,,"Nov 21, 2000",Album Track,Yes,
