Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Indigo,"Smile [V1]
(with Jacquees)
(My Mind)","Leaked online on September 7th, 2021 with a different instrumental, Chris Brown on the hook, one Jacquees verse and an open verse. (Likely Jacquees' same verse on My Mind)",,,"Sep 7, 2021",Full,High Quality,https://pillows.su/f/a84952dc1c733416181c02b8b6467ff0
Indigo,"⭐ Best Sex
(feat. DaniLeigh)
(One Night, Your Side)","Previewed on a live stream on June 1st, 2018 under the assumed title ""One Night"", later leaked on August 30th, 2021 under the title ""Best Sex"".",,,"Aug 30, 2021",Full,High Quality,https://pillows.su/f/2303eb690cf5acdf2f6b88ea0295052e
Indigo,"Telephone
(with Tory Lanez)","Leaked on LEAKED.IS on Mar. 17, 2021. Likely recorded in late 2019.",,,"Mar 17, 2021",Full,High Quality,https://pillows.su/f/a1f1607bca097fe36f73e22ce8f499a8
Indigo,"Transparency [V1]
(ref. Chris Brown) (prod. Hitmaka)","V1 leaked on February 11th, 2021 without the vocals from V2 and a long instrumental in the end.",,,"Feb 11, 2021",Full,High Quality,https://pillows.su/f/4252ccaa9823af66b59fea8f06b0f6b5
Breezy,"PARTYNEXTDOOR - Big Body Benz [V3]
(feat. Jeremih) (prod. BRYVN & OG Parker)
(Closer, Paradise)","Made in 2020 and uses the same beat as Paradise. Leaked on September 20, 2020. Until the actual leaked CDQ file is recovered, we have linked the YT rip.",,,"Sep 20, 2020",Full,High Quality,https://pillows.su/f/bab082ab7e431005fb290a3e86b51f0d
Indigo,"Turn It Back
(with Tory Lanez) (prod. Smash David)","Leaked on LEAKTH.IS on Jul. 15, 2020. Likely recorded in 2018.",,,"Jun 15, 2020",Full,High Quality,https://pillows.su/f/2236f0636858e55d3d6d31847a4e8637
X,"⭐ Meek Mill - All I Want [V3]
(feat. Chris Brown) (prod. Hitmaka)
(Afterparty)","Leaked online April 25th, 2020 and was supposed to be on Meek Mill's album Dreams Worth More Than Money in 2014 based on the fact he previewed this song during sessions for the album, but after Meek went to prison the album got delayed and the song was scrapped once he came out. Features a bridge from Chris Brown that Isn't on V1.",,,"Apr 25, 2020",Full,High Quality,https://pillows.su/f/907b52843e1cbe0e9245e2a4452d4e68
Graffiti,"Stranger I Love
(feat. Andre Merritt)",Possibly a song from the OG Graffiti sessions.,,,"Mar 22, 2020",Full,High Quality,https://pillows.su/f/eb19b3dc03950419b53e2e2d585bd252
F.A.M.E.,"🗑️ Need You
(prod. OAK)","Leaked on March 22nd, 2020 and is obviously unfinished telling from the mumbling throughout the beginning of the song.",,,"Mar 22, 2020",Full,High Quality,https://pillows.su/f/bcdaea7aef290306a1dd2d86bb9fe981
F.A.M.E.,Oh Oh,F.A.M.E. era throwaway.,,,"Mar 22, 2020",Full,High Quality,https://pillows.su/f/b852e8bdf53758bdaf9f5fe799919532
Fortune,"🗑️ Misery
(feat. Kevin McCall)","No clue what this song was going for, the lyrics aren't even bad It's just whatever accent they're both putting on. Leaked March 22nd, 2020.",,,"Mar 22, 2020",Full,High Quality,https://pillows.su/f/38f952c9114266e516fa17bea3de2e0c
F.A.M.E.,"Put Your Lighters Up [V1]
(prod. DJ Felli Fel)
(Lighters)",Originally this song belonged to Chris Brown and he even had a verse. Obviously unfinished.,,,"Mar 17, 2020",Full,High Quality,https://pillows.su/f/7094d6290a2cf1958ab6862c2545a196
Indigo,"⭐ Special
(feat. Dimello)","Throwaway from the Indigo album that leaked on March 10th, 2020. Dr Maleek later remixed the song with just Chris Brown's vocals and a different beat.",,,"Mar 10, 2020",Full,High Quality,https://pillows.su/f/3c88854b9c3427e418ca72cdaa0fd47b
Indigo,⭐ Pyramids,"A snippet of the song was previewed on June 26th, 2019 and later leaked on March 8th, 2020. Not known why this song didn't make the final cut.",,,"Mar 8, 2020",Full,High Quality,https://pillows.su/f/90e40193e8503eba3d149463645e0c10
Graffiti,⭐ Miracle,"Leaked March 3rd, 2020. People say It's dedicated to Royalty but you can tell from his vocals this is definitely 2008-2009. Still a really nice sounding song though.",,,"Mar 3, 2020",Full,High Quality,https://pillows.su/f/5adba5db3d3249483d4c3aa2dae25577
F.A.M.E.,"Hate To Love You
(feat. Kevin McCall)","Unfinished song with some mumbling but the chorus is pretty good, leaked March 3rd, 2020.",,,"Mar 3, 2020",Full,High Quality,https://pillows.su/f/226e80c85d1bd594eaf4bbe58818e9e3
