Era,"Name
(Tracker Website Here)",Info / Notes,Track Length,Release Date,Type,Streaming?,Link(s)
We Love You Tecca 2,"TRANSYNPHONY
(prod. MexikoDro)",Track 22 on We Love You Tecca 2 (Deluxe).,2:44,"Sep 1, 2021",Album Track,Yes,https://open.spotify.com/track/34hvDbZkPIYC7C45oNdwW8?si=2781c35f2f2a4d38
We Love You Tecca 2,"VIRGO
(prod. Young Era & Nick Mira)",Track 23 on We Love You Tecca 2 (Deluxe).,1:56,"Sep 1, 2021",Album Track,Yes,https://open.spotify.com/track/6pq1cvSNT9nuhvRPJ6UPE4?si=9b130d1be0414ce3
We Love You Tecca 2,"GRAMMY (Freestyle)
(prod. HolyOne)","First released on Apr 10, 2019 (not on streaming services). Later became track 24 on We Love You Tecca 2 (Deluxe).",2:11,"Apr 10, 2019",Album Track,Yes,https://open.spotify.com/track/5hzuO0DOsv3sJD2oCxk7Uy?si=3a7d99e952bd4476
We Love You Tecca 2,"SHOW ME UP
(prod. Niko East)","First released as a single, later became track 25 on We Love You Tecca 2 (Deluxe).",2:46,"Apr 6, 2021",Album Track,Yes,https://open.spotify.com/track/3BGppswSnFNGUSFiJ6rj4n?si=709b6cbffea0437e
,Singles,,,,,,
We Love You Tecca 2,"Bussin Bussin
(prod. Dolph, Rvssian & Pyroman)",,2:20,"Jun 18, 2021",Single,Yes,https://open.spotify.com/track/0Bf4K61fD7kPBTIvCkL8DF?si=0be61ca41c4d4116
We Love You Tecca 2,"Gametime
(with Amine) (prod. Blaise Railey & Tasha Catour)",,3:11,"Jul 9, 2021",Single,Yes,https://open.spotify.com/track/3ox1sLhpQrhwsNcQxpe7vu?si=f73e0fbf49e745bb
We Love You Tecca 2,"All Star
(with Lil Tjay) (prod. Taz Taylor, ​mjNichols & KC Supreme)",,3:00,"Mar 13, 2020",Single,Yes,https://open.spotify.com/album/45LIS5vxDcdMniZcD6biUD?si=s5xddiFBQAa8HUQ8sfM1Uw
,Features,,,,,,
We Love You Tecca 2,"Lil Yachty - Virgo World
(with Lil Tecca) (prod. Jupyter, AroBeats & Taz Taylor)",,2:48,"Aug 23, 2021",Feature,Yes,https://open.spotify.com/track/1jN7omTNonXiWogKpngUAj?si=ae98224f67e346b4
We Love You Tecca 2,"Internet Money - JETSKI
(with Lil Tecca & Lil Mosey) (prod. KC Supreme, Taz Taylor, Nico Baran & Nick Mira)",,2:45,"Mar 26, 2021",Feature,Yes,https://open.spotify.com/track/4gtZjfZN7FBrF562pv0K4f?si=25c529b1b2394079
We Love You Tecca 2,"Bankrol Hayden - Come Through
(feat. Lil Tecca) (prod. Jasper Harris, Bak, & Callan)","Released as a single, later became track 6 on Bankrol Hayden's ""29"".",1:52,"Sep 24, 2021",Feature,Yes,https://open.spotify.com/track/3RoCi49XvcidDK7OqGw7fb?si=606a44112c6b40ce
We Love You Tecca 2,"tana - Prada (Remix)
(feat. Lil Tecca) (prod. JKJMETASCO)",,1:52,"Jul 9, 2021",Feature,Yes,https://open.spotify.com/track/6W1aqjLCj3O4M1Pko8Bq6f?si=c227737ee1644bc4
We Love You Tecca 2,"S1mba - Rover
(feat. Lil Tecca) (prod. RELYT)",,2:46,"Jul 10, 2020",Feature,Yes,https://open.spotify.com/album/4mywvojjCi9vsVNSPRCNfR?si=DvgvtNySRNGE81slrrfcgA
We Love You Tecca 2,"Ken Carson - Patrick Ewing
(feat. Lil Tecca) (prod. E-Trou, ThankYouWill & Nick Mira)","OG Filename: Tecca Ken - Patrick Ewing v3.0 
Track 2 on Ken Carson's ""Lost Files 2""",2:29,"Jul 10, 2021",Feature,No,https://pillows.su/f/99dfaa9930f81c6dd0c8f15bbf5b3c39
We Love You Tecca 2,"ronsocold - KiKi!
(feat. Lil Tecca) (prod. XanGang)",,3:06,"Sep, 21 2020",Feature,No,https://pillows.su/f/a26d9abefd090dd3b02a14d4c3a7154c
,Production,,,,,,
