Era,Name,Notes,Length,Date Made,Type,Available Length,Quality,Link(s)
Love Sick,"Pi'erre Bourne - Psane
(feat. Don Toliver)",Confirmed to be shot by Pi'erre Bourne on his Instagram. Unknown why it was never released,,,Music Video,Confirmed,Not Available,
Love Sick,"Trippie Redd - Ain't Safe
(feat. Don Toliver)
(Produced by Grade A Films)","Directed by Nolan Riddle
Released on Nov 2, 2022",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=f3IOwMmMib8&ab_channel=TrippieRedd
Love Sick,"Zack Bia - Hardcore
(feat. Don Toliver)","Directed by Zack Bia
Released on Jan 31, 2023",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=-0II5kdJEjc&ab_channel=ZackBia
,Films,,,,,,,
Love Sick,"Love Sick: Open All Day, Every Night","Directed by Alexandre Moors
The ""Love Sick"" short film was the culmination of all the previews to album songs Don had teased the week leading up to ""Love Sick"" being released
Released Feb 14, 2023 on Prime Video",,,Film,Full,High-Res,Link Needed
,Performances,,,,,,,
Love Sick,Love Sick Tour Europe Leg,"The Europian leg of the Love Sick Tour as announced on June 13, 2023 with the first show being in Bristol England and ending in Stockholm Sweden",,,Live Performance,,,
Love Sick,Love Sick Tour US Leg,"The US leg of the Love Sick Tour was announced April 4, 2023 with the first show being in Denver and ending in San Francisco
Opener was Pi'erre Bourne",,,Live Performance,,,
,"Hardstone Psycho
(2023 - 2024)","(02/28/2023) (Love Sick [Deluxe] is released)
(06/18/2024) (Hardstone Psycho [Deluxe] is released)",,,"In October 2023, Don first started teasing the new era by performing ""Bandit"" and ""It's Up"" during the European leg of the Love Sick tour. On November 16, 2023, Don retweeted a fan asking for Life of a DON 2. However, on March 17, 2024, the album title Hardstone Psycho was officially announced at Rolling Loud California when he performed ""Tore Up."" The album was released on June 14, 2024, and a digital deluxe was released 4 days later including 4 new songs with features from Yeat and Lil Uzi Vert.",,,
,Music Videos,,,,,,,
Hardstone Psycho,"Attitude
(feat. Cash Cobain & Charlie WIlson)
(Produced by BT.Studios)","Directed by Idan Barazani
Released on May 22, 2024",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=A90X6-jIe1g&ab_channel=DonToliver
Hardstone Psycho,Bandit,"Directed by Idan Barazani & Liron Eini
Released on Feb 1, 2024",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=FauDn2LkeQ4&ab_channel=DonToliver
Hardstone Psycho,"Brother Stone
(feat. Kodak Black)","Directed by Kareem Johnson
Released on Jun 15, 2024",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=L_BpiSsIBFM&ab_channel=DonToliver
Hardstone Psycho,Deep In The Water,"Directed by Cactus Jack
Released on Mar 14, 2024",,,Music Video,Full,High-Res,https://www.youtube.com/watch?v=IgoxNaN2GlU&ab_channel=DonToliver
