Era,Name,Notes,Length,Release Date,Type,Streaming,Link(s)
A Love Letter You'll Never Get...,"Quan'ta - No Joke [Music Video]
(feat. Trippie Redd) (prod. WLVS JULES)
(Beat The Box)","Official music video, shot by @filmyoufamily.",3:21,"Jul 1, 2017",Other,No,https://www.youtube.com/watch?v=Buv1Orf2ejg
A Love Letter You'll Never Get...,"Owee [Music Video]
(feat. 6ix9ine & UnoTheActivist) (prod. Pi’erre Bourne)","Released with a music video on the FCK THEM channel with a Twisted Metal aesthetic, directed by Figure Eight Films, filmed and edited by TrifeDrew, mixed and mastered by Wizard Lee of Feet1stmusic",3:51,"Jul 3, 2017",Other,No,https://www.youtube.com/watch?v=kjgDor5Oo4g
A Love Letter You'll Never Get...,"Uh Oh, Thots! (Remix)
(with XXXTENTACION) (prod. Pi’erre Bourne)
(Oowee / Thots)",Released on XXXTENTACION's Soundcloud.,3:03,"Jul 4, 2017",Other,No,https://soundcloud.com/jahseh-onfroy/xxxtentacion-trippie-red-uh-oh-thots-remix
A Love Letter You'll Never Get...,"PACkmaN - Rachet
(feat. Trippie Redd & Smokepurpp) (prod. Pedro Flexin)",Track 3 on Rich Before the Deal.,1:55,"Jul 7, 2017",Feature,Yes,https://open.spotify.com/track/4E79ZdcNbBhRLwzw8A6r7n?si=fa56ab38a77a44d3
A Love Letter You'll Never Get...,"Famous Dex - A Must
(feat. Trippie Redd & Pachino) (prod. LewisYouNasty)",Track 4 on Read About It.,2:59,"Jul 18, 2017",Feature,No,https://soundcloud.com/pluggedsoundz/famous-dex-a-must-feat-trippie-redd-pachino
A Love Letter You'll Never Get...,"Zay Hilfigerrr - Insane XoXo
(feat. Trippie Redd) (prod. Hendrix Smoke)",Released on WAYYVE's Soundcloud.,3:26,"Jul 25, 2017",Feature,No,https://soundcloud.com/wayyve/zay-hilfiger-trippie-redd-insane-xo-xo
A Love Letter You'll Never Get...,Dirty Redd [Music Video],"Official music video for the song Dirty Redd, shot by avixgod.",3:28,"Jul 26, 2017",Other,No,https://www.youtube.com/watch?v=pZZ3PNlV_sg
A Love Letter You'll Never Get...,"ES Mario - Mario World 3
(feat. Trippie Redd)",August 2017 feature.,2:57,"Aug 9, 2017",Feature,No,https://soundcloud.com/es-mario/mario-world-3-ft-trippie-redd
A Love Letter You'll Never Get...,"Gleam [Music Video]
(feat. Lil Wop) (prod. 4point0LehGo)","Released with a music video on WORLDSTARHIPHOP, shot by Good Sherm",3:07,"Aug 12, 2017",Other,No,https://www.youtube.com/watch?v=GC3aPl29V1I
A Love Letter You'll Never Get...,"Warhol.SS - YSL
(feat. Trippie Redd) (prod. Cortdot)",Track 8 on Where’s Warhol?,2:48,"Aug 15, 2017",Feature,Yes,https://open.spotify.com/track/7hC864wG9OH4b7iqRLIW8H?si=b7985fec419443b9
