Era,Name,Notes,Designer(s),Art Type,Image,Project Type,Use,Link(s)
Luv Is Rage 1.5,XO Tour Llif3 [Uncropped 1.5 Cover],Uncropped version of the cover for the Luv Is Rage 1.5 release of XO Tour Llif3,Unknown ,Photo,,Extra,Used,https://ibb.co/TMq9G7x1
Luv Is Rage 1.5,YSL,Single cover for the song YSL,Uzi,Photo,,Front Cover,Used,https://ibb.co/B5n2CbcS
Luv Is Rage 2 [V2],Luv Is Rage 2 [Explicit],"Cover for Lil Uzi Vert's first studio album ""Luv Is Rage 2"", designed by Virgil Abloh, Spike Jordan & Matt Meiners","Virgil Abloh, Spike Jordan & Matt Meiners",Digital,,Front Cover,Used,
Luv Is Rage 2 [V2],Luv Is Rage 2   [Clean],"Cover for Luv Is Rage 2, with no explicit tag.","Virgil Abloh, Spike Jordan & Matt Meiners",Digital,,Front Cover,Used,
Luv Is Rage 2 [V2],Luv Is Rage 2 [Eternal Atake 2 Cover],Cover that was put on all albums & mixtapes that was available on all streaming platforms at the time Eternal Atake 2 was announced. ,"Virgil Abloh, Spike Jordan & Matt Meiners",Digital,,Front Cover,Used,
Luv Is Rage 2 [V2],Luv Is Rage 2 [Animated Cover],"Animated version of the cover used on streaming platforms like Apple Music.
Full MP4 file is linked.","Virgil Abloh, Spike Jordan & Matt Meiners",Digital,,Front Cover,Used,https://mega.nz/file/eR0SRBrT#CKasXBxLCfNqRSwa8WLL7r3ieUr8K-qp792K9RdTxtU
Luv Is Rage 2 [V2],Luv Is Rage 2 [Alternate 1],"Cover posted to Uzi's twitter to promote Luv Is Rage 2. Differences from other covers being that its a lot brighter than the rest, along with the tape being edited differently.","Virgil Abloh, Spike Jordan & Matt Meiners",Digital,,Alternate,Unused,
Luv Is Rage 2 [V2],Luv Is Rage 2 [Alternative 2],"Luv Is Rage 2 cover with slight colorization, along with no explicit tag.","Virgil Abloh, Spike Jordan & Matt Meiners",Digital,,Alternate,Unused,
Luv Is Rage 2 [V2],Luv Is Rage 2 [Alternative 3],"Luv Is Rage 2 cover without any tape, revealing more text that was hidden behind the tape on the release cover.",Spike Jordan & Matt Meiners,Digital,,Alternate,Unused,
Luv Is Rage 2 [V2],Luv Is Rage 2 [Alternative 4],"First cover done for Luv Is Rage 2, previewed by Uzi on his IG","Virgil Abloh, Spike Jordan & Matt Meiners",Digital,,Alternate,Unused,
Luv Is Rage 2 [V2],Luv Is Rage 2 [Alternative 5],"Throwaway Luv Is Rage 2 cover previewed on Matt Meiners' IG. Contains the words ""Hawaii"" ,which is a song recorded by Wondagurl, and ""Norat""(?), unknown if it was ever recorded. ",Spike Jordan & Matt Meiners,Digital,,Alternate,Unused,https://ibb.co/mFdqKQs0
Luv Is Rage 2 [V2],Luv Is Rage 2 [Alternative 6],Throwaway Luv Is Rage 2 cover. Previewed on Matt Meiners' IG,Matt Meiners,Digital,,Alternate,Unused,https://ibb.co/b55dZm3S
Luv Is Rage 2 [V2],Luv Is Rage 2      [Back Cover],"Back cover for the physical release of Luv Is Rage 2, showcasing the tracklist, along with utilizing the original first cover that Uzi previewed.","Virgil Abloh, Spike Jordan & Matt Meiners",Photo,,Back Cover,Used,
Luv Is Rage 2 [V2],Luv Is Rage 2 (Deluxe) [Back Cover],"Back cover for the physical release of Luv Is Rage 2 (Deluxe), featuring what the deluxe track's fonts would look like.","Virgil Abloh, Spike Jordan & Matt Meiners",Photo,,Back Cover,Used,
Luv Is Rage 2 [V2],Luv Is Rage 2 [Gatefold],Full gatefold for the vinyl release of Luv Is Rage 2,"Virgil Abloh, Spike Jordan & Matt Meiners",Photo,,Physical Packaging,Used,
Luv Is Rage 2 [V2],Luv Is Rage 2 [Gatefold],Photo that be seen on the left side of the gatefold.,Spike Jordan & Matt Meiners,Photo,,Physical Packaging,Used,
Luv Is Rage 2 [V2],Luv Is Rage 2 [Gatefold],Photo that be seen on the right side of the gatefold. High Quality digital image was showcased on Matt Meiners' IG.,Spike Jordan & Matt Meiners,Digital ,,Physical Packaging,Used,https://ibb.co/8gbK7KC6
Luv Is Rage 2 [V2],Luv Is Rage 2      [Insert Side 1],Side 1 of the insert found inside Luv Is Rage 2 vinyls.,Spike Jordan,Photo,,Physical Packaging,Used,
Luv Is Rage 2 [V2],Luv Is Rage 2     [Insert Side 2],Side 2 of the insert found inside Luv Is Rage 2 vinyls.,Spike Jordan & Matt Meiners,Photo,,Physical Packaging,Used,
Luv Is Rage 2 [V2],Luv Is Rage 2 [Background Drawings],All the drawings that can be seen in the front cover of Luv Is Rage 2.,Matt Meiners,Digital,,Extra,Used,https://ibb.co/1tqk79Yr
Luv Is Rage 2 [V2],Luv Is Rage 2 [London Pop Up Shop],Promotional cover for the Uzi London Pop Up Shop posted on Atlantic Records UK's socials,"Virgil Abloh, Spike Jordan & Matt Meiners",Digital ,,Extra,Promotional,
Luv Is Rage 2 [V2],Uppin' Downers (Soundcloud Rappers Only),"Cover art for the song Uppin' Downers (SoundCloud Rappers Only), before it was deleted. The original artist (JjAR01 on DeviantArt) has a oddly large amount of fetish art.",JjAR01,Digital,,Front Cover,Used,https://ibb.co/nsyWXcRJ
Luv Is Rage 2 [V2],Uppin' Downers (Soundcloud Rappers Only) [Uncropped],Uncropped version of the Uppin' Downers (SoundCloud Rappers Only) cover art.,JjAR01,Digital,,Extra,Used,"https://ibb.co/FbdWcSK5
https://www.deviantart.com/jjar01/art/Scott-Pilgrim-80304266"
Luv Is Rage 2 [V2],XO Tour Llif3        [DSP Covers],"Single cover for the official release of XO Tour Llif3, it's just a black square with an explicit tag.",Unknown,Digital,,Front Cover,Used,
Luv Is Rage 2 [V2],XO Tour Llif3        [Alterative 1],Cover for the song XO Tour Llif3 showcased by Matt Meiners on IG.,Matt Meiners,Digital,,Alternate,Unused,https://ibb.co/FkHTp08H
Luv Is Rage 2 [V2],XO Tour Llif3        [Alterative 2],Cover for the song XO Tour Llif3 showcased by Matt Meiners on IG.,Matt Meiners,Digital,,Alternate,Unused,https://ibb.co/1c8tyzs
Luv Is Rage 2 [V2],The Way Life Goes [Single Cover],"Cover for the song The Way Life Goes showcased by Matt Meiners on IG, unknown if this was ever considered for the remix release.",Spike Jordan & Matt Meiners,Digital,,Front Cover,Unused,https://ibb.co/KjnmB8CT
Luv Is Rage 2 [V2],The Way Life Goes (Remix),Cover for the song The Way Life Goes (Remix) featuring Nicki Minaj,Unknown,Digital,,Front Cover,Used,
Luv Is Rage 2 [V2],Fabolous - Goyard Bag                    [Single Cover],Cover for the song Goyard Bag featuring Lil Uzi Vert,,Digital,,Front Cover,Used,
Luv Is Rage 2 [V2],Playboi Carti - Lookin [Single Cover],Cover for the song Lookin featuring Lil Uzi Vert,,Digital,,Front Cover,Used,
Luv Is Rage 2 [V2],Playboi Carti - wokeuplikethis* [Single Cover],Cover for the song wokeuplikethis* featuring Lil Uzi Vert,,Digital,,Front Cover,Used,
Luv Is Rage 2 [V2],A$AP Mob - RAF [Single Cover],"Cover for the song RAF featuring Lil Uzi Vert, Playboi Carti, Quavo, A$AP Rocky & Frank Ocean",,Digital,,Front Cover,Used,
Luv Is Rage 2 [V2],Philthy Rich - Water Leak,Cover for the song Water Leak featuring Lil Uzi Vert & Offset,,Digital,,Front Cover,Used,
Luv Is Rage 2 [V2],HoodRich Pablo Juan - Zabamafoo,Cover for the song Zabamafoo featuring Lil Uzi Vert,directionbymath,Digital,,Front Cover,Used,
Too Fast,Too Fast,"Cover for the collab album ""Too Fast"" by Lil Uzi Vert & YoungBoy Never Broke Again. YB had showcased the cover art on IG, promising its release, but it never came.",Unknown,Digital ,,Front Cover,Unused,https://ibb.co/chs94MHY
Lil Uzi Vert vs. The World 2 [V1],Clout,Cover for the song Clout,Unknown ,Digital,,Front Cover,Used,
Lil Uzi Vert vs. The World 2 [V1],"ROLLI 
[Single Cover]","Cover initially meant for the single release of ROLLI, featuring Chief Keef. Showcased on Farris' Twitter. Currently in place of the Lil Uzi Vert vs. The World 2 [V1] cover, as it's the closest thing we have to a real cover for this version.",Farris,Digital,,Front Cover,Unused,
Lil Uzi Vert vs. The World 2 [V1],Maxo Kream - Mars,Cover for the song Mars featuring Lil Uzi Vert,Unknown,Digital,,Front Cover,Used,
Lil Uzi Vert vs. The World 2 [V1],NAV - Wanted You [Single Cover],"Cover for the song Wanted You, featuring Lil Uzi Vert",Unknown,Digital,,Front Cover,Used,
16*29,Chinatown - IM WIT' THE SQUAD,Cover art for the song IM WIT' THE SQUAD released on Chinatown's SoundCloud.,Unknown,Digital,,Front Cover,Used,
16*29,DP Beats - Bankroll [Single Cover],"Cover art for the single release of Bankroll. Though it's officially on DSPs, the cover is only partially real, as no covers were ever created for 16*29. So despite the fact that DP had used it. the cover is technically not real or official.",Unknown,Digital,,Front Cover,Used,
Eternal Atake [V1],Eternal Atake       [2018 Cover],"The first iteration of the Eternal Atake album cover, unveiled by Uzi on his IG. This cover would later by criticized by the Heaven's Gate cult (which the logo took heavy inspiration from), with them saying they'd sue Uzi over the cover. Uzi's record label would end up complying, and after Eternal Atake's 2020 release, Heaven's Gate cult members would then go on calling the album mid.",Unknown,Digital,,Front Cover,Unused,
Eternal Atake [V1],"Eternal Atake?
[2018]",bumass ea cover uzi hopefully never considered using,Unknown,Digital,,Front Cover,Unused,
Eternal Atake [V1],Mood                 [Single Cover],Cover for the WSHH exclusive release of Mood.,Farris,Digital,,Front Cover,Used,
Eternal Atake [V1],"Sauce It Up
[2018 Re-Release]",Current cover for the 2018 release of Sauce It Up,Matt Meiners,Digital,,Front Cover,Used,
Eternal Atake [V1],"Sauce It Up
[2018 Re-Release]","Original cover for the 2018 release of Sauce It Up, no longer in use ",Unknown,Digital ,,Front Cover,Unused,
Eternal Atake [V1],Birdie [Single Cover],Cover for the single release of Birdie,Unknown,Digital ,,Front Cover,Used,
Eternal Atake [V1],Rich Forever Leaked,Cover for the song Rich Forever Leaked,Unknown,Photo,,Front Cover,Used,
Eternal Atake [V1],New Patek,"Cover for the song New Patek. For whatever reason, the only version of this cover is extremely low quality.",Matt Meiners,Digital,,Front Cover,Used,
Eternal Atake [V1],Travis Scott - Watch,"Cover art for the single Watch, featuring Lil Uzi Vert & Kanye West",Unknown ,Digital,,Front Cover,Used,
Eternal Atake [V1],Juice WRLD - Wasted [Single Cover],"Cover art for the SoundCloud release of Wasted, featuring Lil Uzi Vert",majinboof,Digital,,Front Cover,Used,
Eternal Atake [V1],Desto Dubb - Bankteller,"Cover art for the song Bankteller, featuring Lil Uzi Vert, Lil Pump, SmokePurpp & 03 Greedo. The cover art is a recreation of a real photo.",,Digital,,Front Cover,Used,
Eternal Atake [V1],Pressa - 420 In London,"Cover for the song 420 In London, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Eternal Atake [V1],Lil Pump - Multi Millionaire          [Single Cover],"Cover for the song Multi Millionaire, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Eternal Atake [V1],Shabazz PBG - Shells,"Cover for the song Shells, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Eternal Atake [V1],Cassius Jay - Big Racks,"Cover for the song Racks, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Eternal Atake [V1],LAMB$ - Fighting Demons,"Cover for the song Fighting Demons, featuring Lil Uzi Vert",,Digital,,Front Cover,Used,
Eternal Atake [V2],Eternal Atake       [2019 Cover],"Cover that was most likely to be used for the 2019 release of Eternal Atake, as it contains lyrics from Sanguine Paradise, which was finalized post Eternal Atake V1 sessions.",Unknown,Digital ,,Front Cover,Unused,
Eternal Atake [V2],Free Uzi,Cover for the song Free Uzi,Unknown,Photo,,Front Cover,Used,
Eternal Atake [V2],Free Uzi [Unedited],Unedited & Uncropped version of Free Uzi's cover,Unknown,Photo,,Extra,Used,
Eternal Atake [V2],That's a Rack,Cover for the song That's a Rack,Unknown,Digital,,Front Cover,Used,
Eternal Atake [V2],That's a Rack [Extended Cover],"Features a more saturated color palette, can be seen on the Youtube release.",Unknown,Digital,,Extra,Used,
Eternal Atake [V2],Sanguine Paradise,Cover for the song Sanguine Paradise,alterna.tiff,Digital ,,Front Cover,Used,
