Year,YearTotal,Era,Name,Content,Price,Start,End,Type,Status,Link
2025,,Lil Uzi Vert vs. The World 2 [V1],"Living Legend
(prod. Oogie Mane)","- Main Song (Blind) -
Living Legend (2018)

Another pre-2020 song buy.","$2,500","Aug 13, 2025","Aug 14, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],"T Cardi
(prod. M2K Productions)
(TCardi (Remix))","- Main Song (Blind) -
T Cardi (2023)

2023 buy.","$2,500","Aug 11, 2025","Aug 13, 2025",Blind,Completed,N/A
2025,,Lil Uzi Vert vs. The World 2 [V1],"Slatt {Song 2}
(prod. Oogie Mane)","- Main Song (Blind) -
Slatt (2018)

Pre-2020 buy, song is mixed by Kesha and is around 4 minutes long.","$2,000","Aug 10, 2025","Aug 11, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],"Go Insane
(with Snow Strippers) (prod. Snow Strippers)","- Main Song (Blind) -
Go Insane (w/ Snow Strippers) (2023)

2023 buy again.","$2,000","Aug 8, 2025","Aug 10, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],"🥉 Global [V2]
(prod. Arca & Brandon Finessin)
(Thrax)","- Main Song (Blind) -
Global (2023)

Another blind 2023 song, said by holder to be 3+ min, very good and one of his favorites. Took a whole day to get all the funds to be sent due to Venmo acting up.","$2,500","Aug 6, 2025","Aug 7, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],"🥉 Camera Flash
(prod. Brandon Finessin)
(I'm Smashing, Brickwall, Brick Wall)","- Main Song (Blind) -
Camera Flash (2023)

Blind 2023 song, said to be very good.","$2,000","Aug 6, 2025","Aug 6, 2025",Blind,Completed,N/A
2025,,Pink Tape [V2],"🥉 Steve Austin
(prod. DP Beats)
(Keep It Real, Flossin')","- Main Song (Blind) -
Steve Austin (Keep It Real) (2022)
Real As It Could Get

Buy ran a bit after Watching finishes. The original song was leaked by another person prior to it finishing, so it was swapped to a blind 2022 song.","$2,500","Aug 5, 2025","Aug 5, 2025",Blind,Completed,N/A
2025,,Pink Tape [V3],"🏆 Watching
(prod. Akachi)
(Check The Fridge, Comme Des Garcons)","- Main Song -
Watching

Insane buy, the entire thing finished in literally 15 minutes after first opening and even received extra donations.","$2,000","Aug 5, 2025","Aug 5, 2025",Normal,Completed,N/A
2025,,Delta Pink Tape [V1],"Feng Shui
(prod. Brandon Finessin)","- Main Song (Blind) -
Feng Shui (2021)

Random song bought blindly part 2.",$300,"Jul 23, 2025","Jul 24, 2025",Blind,Completed,N/A
2025,,Forever Young,"Pass Out Racks
(prod. Brandon Finessin & Outtatown)","- Main Song (Blind) -
Pass Out Racks (2020)

Random song bought blindly.",$350,"Jul 22, 2025","Jul 22, 2025",Blind,Completed,N/A
2025,,Forever Young,x2 Buy #4,"- Main Songs (Blind) -
Bussin' (2020)
Fame (2020)

Two 2020+ songs for cheap part 4.",$800,"Jul 16, 2025","Jul 19, 2025",Blind,Completed,N/A
2025,,Multiple Eras,x2 Buy #3,"- Main Songs (Blind) -
Colder (2022)
Irregular Mind (2021)

Two 2020+ songs for cheap part 3.",$500,"Jul 7, 2025","Jul 9, 2025",Blind,Completed,N/A
2025,,Multiple Eras,x2 Buy #2,"- Main Songs (Blind) -
My Boo (2021)
That's a Brick (2022)

Two 2020+ songs for cheap part 2.",$450,"Jun 29, 2025","Jul 1, 2025",Blind,Completed,N/A
2025,,Multiple Eras,x2 Buy #1,"- Main Songs (Blind) -
Business (2022)
Today (2021)

Two 2020+ songs for cheap.",$450,"Jun 27, 2025","Jun 28, 2025",Blind,Completed,N/A
2025,,Multiple Eras,x31 2020+ Pack,"- Main Songs (Blind) -
x31 2020+ songs
I'm not listing all the songs
was this buy even 30 songs? it seems like we got a quintillion from it

Announced and ran by bueberries, has a variety of sounds from songs that sound like wraith to songs that have Gary voice. Songs will leak in intervals for every 1k reached.","$7,000","Jun 4, 2025","Jun 20, 2025",Blind,Completed,N/A
Unknown,,Eternal Atake 2,"🥉 Captain
(prod. MCVertt)
(Aye Aye Captain)","- Main Song -
Captain

Announced that it could be ran for $2.5k, or have a x5 pack for $2k and was winning a poll on what should be ran. However, someone started the poll over and repinged resulting in a different poll result.","$2,000",-,-,Blind,Cancelled,N/A
2025,,Multiple Eras,x3 Post 2020,"- Main Songs (Blind) -
Whole Lotta
I Want To
Pilot

Quick x3 buy.",$600,"May 29, 2025","May 30, 2025",Blind,Completed,N/A
2025,,Pink Tape [V2],"Percocet
(prod. Bugz Ronin)","- Main Song -
Percocet

Announced by bueberries, cheap quick buy.",$550,"May 26, 2025","May 29, 2025",Normal,Completed,N/A
2025,,Lil Uzi Vert vs. The World 2 [V1],"🥉 I Was Just
(prod. Brandon Finessin, Loosie Man, Oogie Mane & Forza)
(Paranoia, Cant Sleep)","- Main Song -
I Was Just (Paranoia)

Buy was announced for $5k originally, but was 'disguised' as a different grail buy for $1k instead but was the same song, just for cheaper.","$1,000","May 25, 2025","May 25, 2025",Normal,Completed,N/A
2025,,Tsunami Island,"🥉 No Sir*
(prod. Wheezy)","- Main Song -
No Sir

- Bonuses -
Off Me (At $900 Raised)

Announced by AMG, finally being ran this time and should actually finish.",$900,"May 22, 2025","May 22, 2025",Normal,Completed,N/A
Unknown,,Eternal Atake [V2],"🏆 Shot A Movie*
(prod. Brandon Finessin & StarBoy)","- Main Song -
Shot A Movie

- Bonuses - 
???

Was rumoured to be ran after a new snippet was posted and a poll taken on if it should be ran. However, a user apparently PB'd the song for $8k resulting in the gb being cancelled.","$4,000",-,-,Normal,Cancelled,N/A
2025,,Pink Tape [V2],"What Did I Say
(prod. Brandon Finessin)","- Main Song (Blind) -
What Did I Say

Ran by @bueberries after other buy cancelled, said one song for a cheap price.",$550,"May 18, 2025","May 18, 2025",Blind,Completed,N/A
