"Era","Name","Notes","Quality","Creator","Image","Link(s)"
"Chloe Burbank Volume 1 [V2]","plastic taste [Cover 1]
aka. Plastic Taste","Cover Art for ""plastic taste"" on Joji's SoundCloud account. The painting used
doesn't have a known title or artist, but is known as ""Young Woman On Her Death Bed"".","1012x1012","","","https://drive.google.com/file/d/1uT510BBnPYPnrPN_FLPaVaBw5wgdEBln/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","plastic taste [Cover 2]
aka. Plastic Taste","Cover Art for ""plastic taste"" on Joji's Bandcamp account. The painting used is
""The Nightmare"" by Johann Henry Fuseli. It was later reused ten days later as cover art for ""SAD TRAVIS PT.2"", a private track uploaded to Joji's SoundCloud.","1920x1554","Johann
Henry Fuseli","","https://drive.google.com/file/d/13X0a49WifyQpgPPvgZo4aWtnclOSzqlF/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","rain on me","Cover Art for ""rain on me"" on Joji's SoundCloud account.","1500x1500","","","https://drive.google.com/file/d/1zsfuBbhVjGl_4DfOaip8aa-tZY82TyZj/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","rain on me [Full Photo]
aka. rain puddle","Original photo for the cover art of ""rain on me"".
Taken from this page online.","2880x2001","","","https://archive.ph/WJfu4
https://drive.google.com/file/d/1oaQilwD6VD9vyj33DEYU3-H-xMgpxo-Q/view"
"Chloe Burbank Volume 1 [V2]","SAD TRAVIS PT.2
aka. 128, Antidote Pt. 2, Window Pt. 2","Cover Art for ""SAD TRAVIS PT.2"", a private track uploaded to Joji's SoundCloud account. The painting used is ""The Nightmare"" by Johann Henry Fuseli.","1554x1554","Johann
Henry Fuseli","","https://drive.google.com/file/d/1A7oXSdyagZL5Tn-UApemS-H_VE2xwdx8/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","ryanjacob - VISA [Cover #1]","First Cover Art for ""VISA"" by ryanjacob.","999x999","","","https://drive.google.com/file/d/1eTbHGskMyl3ajKrIuWrHh2eZH630bSpU/view"
"Chloe Burbank Volume 1 [V2]","ryanjacob - VISA [Cover #2]","Second Cover Art for ""VISA"" by ryanjacob.","999x999","","","https://drive.google.com/file/d/1T6jLSkhiygtBN7BaRZC4w2h1yAZABVmH/view"
"Chloe Burbank Volume 1 [V2]","WORLD$TAR MONEY [Cover #1]
aka. worldstar money (interlude)","Cover Art for ""WORLD$TAR MONEY"" on Joji's SoundCloud account.","676x676","","","https://drive.google.com/file/d/1H8N8Sp6ksN6yELBYKbb_h6zlmLhWgqdx/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","WORLD$TAR MONEY [Cover #2]
aka. worldstar money (interlude)","Cover Art for ""WORLD$TAR MONEY"" on Joji's Bandcamp account.
The painting used is ""The Burning of the Houses of Parliament"" by J.M.W. Turner.","3176x2423","J.M.W.
Turner.","","https://drive.google.com/file/d/1YdIb5xJeZNq1rAosTH26Kg2nG3yb1Qvs/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","unsaved info [Cover #1]","Cover Art for ""unsaved info"" on Joji's SoundCloud account.
The artwork that was used was done by Akino Kondoh.","404x404","Akino
Kondoh","","https://drive.google.com/file/d/1yhNYXzg7Ui56cESC_mdDo9a9sf_FhsRT/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","unsaved info [Cover #2]","Cover Art for ""unsaved info"" on Joji's Bandcamp account. The painting used is ""Sigismund Augustus with Barbara at the Radziwiłł court in Vilnius"" by Jan Matejko.","1855x2227","Jan Matejko","","https://drive.google.com/file/d/1gcMeG3ZzVfbV81S8epIgOYFMazEFfmFK/view?usp=drive_link"
"Chloe Burbank Volume 1 [V2]","XXX","Cover Art for ""XXX"" on Joji's SoundCloud account.","360x360","","","https://drive.google.com/file/d/12824nNPvxwIAIsLBT7ZPHTHeNK3yTOer/view?usp=drive_link"
"Pink Season","James
aka. TERIYAKI GOD, god","Cover Art for ""James"", a private track uploaded to Joji's
SoundCloud account. It originates from this news story on WTAE.","600x600","","","https://drive.google.com/file/d/18X-pkXzO6V68uGtlrX66df7OBzJFDQKf/view?usp=drive_link"
"Pink Season","James [Original Photo]
aka. TERIYAKI GOD, god","Original Photo used in the cover art for ""James"", a privated track on Joji's SoundCloud.
It originates from this news story on WTAE.","800x600","","","https://drive.google.com/file/d/1sLGS11_YBFC0Kbe8MlVaKOEn8urxwdvK/view"
"Lost Instruments","Lost Instruments","Cover Art for ""Lost Instruments"".
The font used is ""Dirty Lines Script"".","1000x1000","","","https://drive.google.com/file/d/1Qthz9wn7BNcrZeb_vNISMieIiO8-CE5R/view"
"In Tongues","Angry Ass Beat Go Hard For 1 Minute
aka. Matt Ox","Cover Art for ""angry ass beat go hard for 1 minute"", a private track uploaded
to Joji's SoundCloud account. The cover art is of a Mayan woman named María,
sadly she passed away in October 2019","450x450","","","https://drive.google.com/file/d/1vwO8YVbW-fPMzOEWW-uVpoVFgsdZnyA5/view?usp=drive_link"
"In Tongues","Higher Brothers - Nomadic","Cover Art for ""Nomadic"" by Higher Brothers.","3000x3000","","","https://drive.google.com/file/d/1u-AMzsOVhLt3sAVitfy1rppztL50fFl9/view"
"In Tongues","Higher Brothers - Nomadic","Cover Art of the music video for ""Nomadic"" by Higher Brothers.","3000x3000","","","https://drive.google.com/file/d/1u-AMzsOVhLt3sAVitfy1rppztL50fFl9/view"
"In Tongues","Higher Brothers - Nomadic [Music Video]","Cover Art of the music video for ""Nomadic"" by Higher Brothers on streaming.","1920x809","","","https://drive.google.com/file/d/1UBl6fwVNdjMxouiWnoAkslQCwtqHOhlN/view"
"In Tongues","Will He
aka. Will He?","Cover art for ""Will He"".
Created on September 29th, 2017.","3000x3000","BRTHR","","https://drive.google.com/file/d/1DMbUHd_QykfBEvQRsLFzogS2SkySbiUS/view?usp=drive_link"
"In Tongues","In Tongues","OG Filename: IMG_1322.jpg
Cover Art for ""In Tongues"".
Created on October 10th, 2017.","3000x3000","BRTHR","","https://drive.google.com/file/d/1pTzf2p44N6w1Czkmc5WuoR_rXruPqK6k/view?usp=drive_link"
"In Tongues","In Tongues [Back Cover]","OG Filename: IMG_1418.jpg
Back Cover for ""In Tongues"".
Created on October 11th, 2017.","675x683","BRTHR","","https://drive.google.com/file/d/16oQJ_Zh5zFhORrsH0cYPxhQeILetiX22/view?usp=drive_link"
"In Tongues (Deluxe)","I Don't Wanna Waste My Time (SwuM Remix)
aka. i don't wanna waste my time (SwuM redo)","Cover Art for ""I Don't Wanna Waste My Time (SwuM Remix)"".","499x499","","","https://drive.google.com/file/d/1r-i5U8ZJTMEMRC2zt_oFHIILYda7qe70/view"
"In Tongues (Deluxe)","Bitter Fuck (salute Remix)","Cover Art for ""Bitter Fuck (salute Remix)"".
Created on November 19th, 2017, and finalized on February 9th, 2018.","3300x3300","","","https://drive.google.com/file/d/10qzZHeWBZJ5037cGsLjUoBVfdmtbjL1g/view"
"In Tongues (Deluxe)","Demons (Lapalux Remix)","Cover Art for ""Demons (Lapalux Remix)"".","3300x3300","","","https://drive.google.com/file/d/1V1p_VwrVDHJTJJkJ4-c32SdvGmqL33mV/view?usp=drive_link"
