Era,Name,Notes,Track Length,File Date,Leak Date,Available Length,Quality,Link(s)
Bando Stone and The New World,Happy Survival [V1],"The version played on Gilga Radio Episode 1 was in B♭ minor, rather than B major of release.",,,"Apr 15, 2024",Full,CD Quality,https://pillows.su/f/024c8aaef1f71679649f96c1f502a4f2
Bando Stone and The New World,"A Place Where Love Goes [V1]
(prod. Ludwig Görranson)",Snippet of a new song heard during a radio ad skit advertising the release of the 'Bando Stone In The New World' soundtrack during GILGA Radio Episode 1.,,,"Apr 15, 2024",Snippet,High Quality,https://pillows.su/f/48d8c1a3b371ba45402ca24d9e11b047
Bando Stone and The New World,⭐ Mid Life,"New song played during Season 1 Episode 1 of GILGA Radio, possibly a freestyle track.",4:55,,"Apr 15, 2024",Full,CD Quality,https://pillows.su/f/29f19c5c0ceb3066cfc11421fcb2fb5f
"""Awaken, My Love!""","⭐ Kimbra - Top Of The World
(feat. Childish Gambino)","OG Filename: 01 Top Of The World RUFF DEMO
Snippet leaked by waterfalls on June 19th, 2022. Recorded in 2015 with Kimbra and Donald going back and forth besides the hook. Leaked after successful groupbuy on March 30, 2024.",4:41,,"Mar 30, 2024",OG File,CD Quality,https://pillows.su/f/bf16e0a7dba205fe6a8bd051d8c55912
Untitled*,⭐ Like The Internet,"OG Filename: 01 LikeTheInternet
Three of six snippets leaked by waterfalls on October 16th, 2021. Song is solo Donald with around 30 seconds of vocals with open verses meant for Chance. Leaked after successful groupbuy on March 30, 2024.",2:07,,"Mar 30, 2024",OG File,CD Quality,https://pillows.su/f/c8043716741305ad59e7112066b75e82
Untitled*,⭐ Want Me Dead,"OG Filename: 01 WantMeDead
Six of six snippets leaked by waterfalls on October 16th, 2021. Finished other than a small open section on Donald's verse. Leaked after successful groupbuy on March 30, 2024.",3:42,,"Mar 30, 2024",OG File,CD Quality,https://pillows.su/f/f57d4e90dd19fcf5e1433deb63c73a1d
Atavista [V2],"12.38 [V4]
(feat. 21 Savage, Ink, & Kadija Bonet)
(Millennial Love, Psilocybae (Millenial Love)","Registered on March 28th, 2024.",,,"Mar 28, 2024",Confirmed,Not Available,
Atavista [V2],"19.10 [V3]
(To Be Hunted)","Registered on March 28th, 2024.",,,"Mar 28, 2024",Confirmed,Not Available,
Atavista [V1],⭐ Gorilla,"Song said to be made during the Atavista sessions. An edit by BrandonGotNoGrip leaked on October 23rd, 2023. Unedited file leaked on March 22, 2024.",4:51,,"Mar 22, 2024",Full,CD Quality,https://pillows.su/f/c4aa93ca9a163602af7254ffe809a8b8
Atavista [V1],⭐ Just A Party,"Interlude said to be made during the Almanac sessions. An edit by BrandonGotNoGrip leaked on October 23rd, 2023 alongside 'Gorilla'. Unedited file leaked on March 22nd, 2024.",2:17,,"Mar 22, 2024",Full,CD Quality,https://pillows.su/f/be4fa7f34bc2b5cdf55b45c770b28094
